	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	object_in_range	observations:	reward	v_measure_calc_distance	v_measure_sensor_distance
0	-0.31541950829192333	1.4277917552751958	3.0	0.0	1.0	[0.25, 0.17220824472480445, 0.25, 0.25]	-0.31541950829192333	1.25	1.4277917552751958
1	-0.5642565720452992	2.855538141642084	3.0	0.0	1.0	[0.25, 0.17225361363311192, 0.25, 0.25]	-0.24883706375337594	2.5	1.4277463863668882
2	-0.7202104735582715	4.298616364298695	1.0	0.0	1.0	[0.25, 0.15692177734338897, 0.25, 0.25]	-0.15595390151297223	2.5	1.4430782226566112
3	-1.0044773022254598	5.745501700168492	3.0	0.0	1.0	[0.25, 0.1531146641302032, 0.25, 0.25]	-0.28426682866718844	3.75	1.4468853358697968
4	-1.1467471975235157	7.174949982922665	2.0	0.0	1.0	[0.25, 0.1705517172458273, 0.25, 0.25]	-0.1422698952980559	3.75	1.4294482827541728
5	-0.35699340604095664	8.400375614722282	0.0	0.0	1.0	[0.25, 0.1896465850753142, 0.25, 0.184927783125069]	0.7897537914825591	6.75	1.225425631799617
6	0.48003272803849806	9.625532561767757	0.0	0.0	1.0	[0.25, 0.19301001138591392, 0.25, 0.18183304156861066]	0.8370261340794547	9.75	1.2251569470454755
7	0.11605343661603973	10.850798944954041	3.0	0.0	1.0	[0.25, 0.1912451303096959, 0.25, 0.18348848650401947]	-0.36397929142245833	11.0	1.2252663831862847
8	-0.23276156136527337	12.067243701165378	3.0	0.0	1.0	[0.25, 0.18986558339661982, 0.25, 0.19368966039204344]	-0.3488149979813131	12.25	1.2164447562113367
9	-0.3608158354936638	13.496403531484393	1.0	0.0	1.0	[0.25, 0.17084016968098548, 0.25, 0.25]	-0.12805427412839043	12.25	1.4291598303190147
10	-0.6450919176754384	14.93107784814791	3.0	0.0	1.0	[0.25, 0.16532568333648445, 0.25, 0.25]	-0.2842760821817745	13.5	1.4346743166635156
11	-0.7990500195300342	16.193166869814966	1.0	0.0	1.0	[0.25, 0.14997279088681467, 0.25, 0.25]	-0.15395810185459577	13.5	1.2620890216670557
12	-0.0028189810013763417	17.52184126452039	0.0	0.0	1.0	[0.25, 0.12408258020990776, 0.25, 0.25]	0.7962310385286578	16.5	1.328674394705422
13	0.7067791262566987	18.88172458182579	0.0	0.0	1.0	[0.25, 0.10951649625446104, 0.25, 0.25]	0.709598107258075	19.5	1.359883317305401
14	1.322312298945881	20.258464833137936	0.0	0.0	1.0	[0.25, 0.10165253980771101, 0.25, 0.25]	0.6155331726891823	22.5	1.376740251312147
15	0.894589309957333	21.441803333469572	1.0	0.0	1.0	[0.25, 0.10109537820777907, 0.19862111472252053, 0.25]	-0.4277229889885481	22.5	1.1833385003316348
16	0.3092370969801941	22.59228142750921	1.0	0.0	1.0	[0.25, 0.09835739817470633, 0.14051497447642697, 0.25]	-0.5853522129771389	22.5	1.1504780940396382
17	-0.358674794453972	23.625503695431135	2.0	0.0	1.0	[0.25, 0.08759802261011385, 0.10178723780183906, 0.25]	-0.6679118914341661	22.5	1.0332222679219232
18	-1.121237870392962	24.693985405957903	2.0	0.0	1.0	[0.25, 0.08537740380726958, 0.09321128586538945, 0.25]	-0.7625630759389901	22.5	1.0684817105267683
19	-2.136079121127823	25.493553671249913	1.0	0.0	1.0	[0.11099539485063231, 0.08821511079853513, 0.08210810394025929, 0.19889263158874124]	-1.014841250734861	22.5	0.7995682652920111
20	-2.523302620710761	26.473757241601625	0.0	0.0	1.0	[0.14256553723777232, 0.05432760071659637, 0.04023509077757789, 0.09878535879843825]	-0.3872234995829382	25.5	0.9802035703517132
21	-3.9161025796226347	27.459523899013426	2.0	0.0	1.0	[0.14773842789344022, 0.04865241654867112, 0.0396485273496156, 0.11004312741828302]	-1.3927999589118736	25.5	0.985766657411802
22	-5.045524234414567	28.517865369932178	2.0	0.0	1.0	[0.25, 0.037491582156468584, 0.042994363921703534, 0.17756969553137003]	-1.1294216547919325	25.5	1.0583414709187502
23	-6.030769717534994	29.62473180786024	3.0	0.0	1.0	[0.25, 0.06245635973061868, 0.07834767217947758, 0.25]	-0.9852454831204273	26.75	1.1068664379280617
24	-6.8168785034354045	30.7164262502224	1.0	0.0	1.0	[0.25, 0.07699236602141435, 0.08587194376676799, 0.25]	-0.7861087859004104	26.75	1.091694442362161
25	-7.613549096573682	31.799185266578785	2.0	0.0	1.0	[0.25, 0.08100835154403963, 0.08886943879874618, 0.25]	-0.796670593138278	26.75	1.082759016356384
26	-8.207954995751974	32.875313126736074	1.0	0.0	1.0	[0.11173443961917541, 0.25, 0.08521361035938117, 0.25]	-0.5944058991782916	26.75	1.0761278601572908
27	-9.144042390578885	33.86940378374296	2.0	0.0	1.0	[0.11845480740781211, 0.08629399784669642, 0.07987353837832345, 0.25]	-0.9360873948269118	26.75	0.9940906570068841
28	-9.409588183836771	34.7878613129961	0.0	0.0	1.0	[0.16510846898484055, 0.040466882391865924, 0.04239702804876023, 0.1559424991219847]	-0.2655457932578851	29.75	0.9184575292531388
29	-10.586464819288866	35.84728119155943	2.0	0.0	1.0	[0.25, 0.04190680584020299, 0.04535878702312582, 0.16982950797057533]	-1.1768766354520952	29.75	1.0594198785633342
30	-11.921261440878343	36.79416511936826	1.0	0.0	1.0	[0.1601310180029296, 0.0408899838515276, 0.0402414690685824, 0.13971399421974526]	-1.3347966215894769	29.75	0.9468839278088259
