	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
0	1.7592902897629974	1.4166833855844072	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.7592902897629974	0.04080684089926035	3.0	1.4166833855844072
1	3.3613622090957636	2.8342161311783185	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.6020719193327662	0.03687638163850457	6.0	1.4175327455939115
2	4.2522005400316045	4.252316981412499	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.8908383309358407	0.019095541928581435	9.0	1.4181008502341805
3	6.454229917229952	5.671459927047301	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.2020293771983472	0.05187531808514409	12.0	1.4191429456348017
4	8.090533100911552	7.091330857879853	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.6363031836815995	0.037732163247225406	15.0	1.419870930832552
5	10.462542295760574	8.691330857879853	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.3720091948490216	0.05612481352641096	18.0	1.6
6	12.519487047413303	10.291330857879853	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.056944751652728	0.04824820244650362	21.0	1.6
7	14.423946770946714	11.718076993504486	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.9044597235334104	0.044436076743520674	24.0	1.4267461356246325
8	15.961427806973617	13.149425494669583	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.5374810360269036	0.035261609555858005	27.0	1.431348501165096
9	17.489890611740762	14.579469936481189	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.528462804767146	0.035036153774364066	30.0	1.4300444418116065
10	19.010738474983306	16.007283178034157	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.5208478632425457	0.034845780236249055	33.0	1.4278132415529692
11	19.55836689741786	17.43463779250731	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.5476284224345516	0.010515294216049204	36.0	1.4273546144731522
12	19.84737194285091	18.27390411913206	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.2890050454330496	0.004049709791011654	39.0	0.8392663266247494
13	22.326132222551202	19.21079471044391	0.0	0.0	0.0	1.0	[0.1465084566709431, 0.15, 0.15, 0.15]	2.478760279700291	0.05893695980359897	42.0	0.9368905913118527
14	25.399723423244364	20.434345250982542	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	3.0735912006931607	0.07366436367251443	45.0	1.2235505405386333
