	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
13	-54.334244134909945	19.246842031993083	2.0	0.0	0.4974052	1.0	[0.15, 0.034814062968031724, 0.0023442309119880134, 0.01554552888822849]	-13.113494796244197	0.0073121383035161655	17.900000000000002	1.5261910990835983
14	-67.8238193124333	20.775348742014476	2.0	0.0	0.4972056	1.0	[0.15, 0.030995485209660025, 0.002171605132700239, 0.017837657394580427]	-13.489575177523358	0.003781383398549404	19.700000000000003	1.5285067100213934
15	-81.67395181746357	22.30529123073495	2.0	0.0	0.497006	1.0	[0.15, 0.028242780177485695, 0.002036191206103879, 0.019701700350634038]	-13.850132505030277	0.003302300883106764	21.500000000000004	1.5299424887204753
16	-95.7344299386916	23.836068311141513	0.0	0.0	0.4968064	1.0	[0.15, 0.026467045787090773, 0.0019378069884093802, 0.02100106806337995]	-14.060478121228034	0.0023623547062864066	25.000000000000004	1.5307770804065606
17	-110.19156970633028	25.367484894285838	2.0	0.0	0.4966068	1.0	[0.15, 0.024969606497814118, 0.0018488602042947392, 0.022162756373151703]	-14.457139767638676	0.0012166694235080835	26.800000000000004	1.531416583144325
18	-125.1025644560905	26.89959137271506	3.0	0.0	0.4964072	1.0	[0.15, 0.022902176693256657, 0.0017295707980409753, 0.023914677790182644]	-14.91099474976022	0.0018872723286148018	28.600000000000005	1.5321064784292227
19	-139.79132883060703	28.43132218694079	3.0	0.0	0.4962076	1.0	[0.15, 0.02223836591244192, 0.0017867255358812446, 0.024764848361157433]	-14.68876437451651	0.0004695038951614351	30.400000000000006	1.5317308142257287
20	-154.5203871015806	29.963150210354364	1.0	0.0	0.496008	1.0	[0.15, 0.02235290263460646, 0.0017718655543010999, 0.024602608192908562]	-14.729058270973574	0.0004290165916851192	31.400000000000006	1.5318280234135728
21	-169.26297538917646	31.494975222064486	3.0	0.0	0.4958084	1.0	[0.15, 0.02238803976332349, 0.0017726678631743407, 0.024567816596817442]	-14.742588287595838	0.0004118088024071003	33.2	1.531825011710123
22	-184.03242300825826	33.0268904297242	3.0	0.0	0.4956088	1.0	[0.15, 0.02315798358698272, 0.001765247231473235, 0.023741328025444413]	-14.769447619081788	0.000992493349105422	35.0	1.5319152076597105
23	-198.83474532840177	34.558817997221006	3.0	0.0	0.4954092	1.0	[0.15, 0.02256365466114185, 0.0017572079965309149, 0.024341029448768196]	-14.802322320143494	0.0007311105825336181	36.8	1.53192756749681
24	-213.4855141508041	36.0905475288637	3.0	0.0	0.4952096	1.0	[0.15, 0.02292298215810471, 0.0017961472287347975, 0.02406319539663827]	-14.650768822402354	9.924984607387376e-05	38.599999999999994	1.5317295316426978
25	-228.37627631232	37.622626661672314	3.0	0.0	0.49501	1.0	[0.15, 0.022982502105474516, 0.0017348849668753173, 0.023845498389291845]	-14.890762161515887	0.0002403384189585702	40.39999999999999	1.5320791328086116
26	-243.068636291939	39.15439747075817	0.0	0.0	0.4948104	1.0	[0.15, 0.022594685258396943, 0.0017850095837622856, 0.02437992592959891]	-14.692359979619003	5.014097041994342e-05	43.89999999999999	1.5317708090858542
27	-257.85420495202476	40.686324988205534	3.0	0.0	0.4946108	1.0	[0.15, 0.022883959723197577, 0.001761111350563951, 0.024013740068730926]	-14.785568660085755	0.0015634240526379007	45.69999999999999	1.5319275174473612
28	-268.2903143689415	42.20203585077324	4.0	0.0	0.4944112	1.0	[0.15, 0.015523344514950672, 0.0038416279839150616, 0.040217252995122986]	-10.436109416916729	0.007825589693551533	45.69999999999999	1.5157108625677074
