	accu_reward	episode_index	time_passed
0	38.104996137774975	1.0	30000.0
1	38.104996137774975	2.0	30000.0
2	38.104996137774975	3.0	30000.0
3	38.104996137774975	4.0	30000.0
4	-119.58724563066438	5.0	30000.0
5	37.857280094603055	6.0	30000.0
6	38.104996137774975	7.0	30000.0
7	38.104996137774975	8.0	30000.0
8	38.104996137774975	9.0	30000.0
9	38.104996137774975	10.0	30000.0
10	9.772073936636707	11.0	30000.0
11	-530.5436315068533	12.0	30000.0
12	-360.2095412307842	13.0	30000.0
13	-20.150666068830112	14.0	30000.0
14	38.104996137774975	15.0	30000.0
15	38.104996137774975	16.0	30000.0
16	38.104996137774975	17.0	30000.0
17	38.104996137774975	18.0	30000.0
18	38.104996137774975	19.0	30000.0
19	38.104996137774975	20.0	30000.0
20	38.104996137774975	21.0	30000.0
21	35.51491802696871	22.0	30000.0
22	31.858662174680894	23.0	30000.0
23	38.104996137774975	24.0	30000.0
24	21.086149249517185	25.0	30000.0
25	15.678905596801783	26.0	30000.0
26	35.98964773013124	27.0	30000.0
27	0.6350080156329176	28.0	30000.0
28	36.46773387259849	29.0	30000.0
29	3.3760879709217537	30.0	30000.0
30	-130.3804273700945	31.0	30000.0
31	-26.536538383781675	32.0	30000.0
32	-314.0229042539422	33.0	30000.0
33	-81.78741876316516	34.0	30000.0
34	-71.7844110754264	35.0	30000.0
35	-45.16985422393416	36.0	30000.0
36	36.632673609781044	37.0	30000.0
37	36.83321988265984	38.0	30000.0
38	35.88225922417503	39.0	30000.0
39	30.24424677094126	40.0	30000.0
40	-8.935414473534408	41.0	30000.0
41	28.341271313202665	42.0	30000.0
42	35.97911655186608	43.0	30000.0
43	37.26796934884863	44.0	30000.0
44	33.91095337226287	45.0	30000.0
45	21.25693835658368	46.0	30000.0
46	-115.42510316890538	47.0	30000.0
47	34.20473363590101	48.0	30000.0
48	31.947395288206238	49.0	30000.0
49	37.812351197142114	50.0	30000.0
50	-53.21423135148193	51.0	30000.0
51	-4.513386393841275	52.0	30000.0
52	-295.0133149535068	53.0	30000.0
53	-324.5109630788824	54.0	30000.0
54	1.010331703775698	55.0	30000.0
55	-50.1447449151216	56.0	30000.0
56	-259.2122902576425	57.0	30000.0
57	9.446672867888353	58.0	30000.0
58	12.046508438224947	59.0	30000.0
59	-96.39925603567343	60.0	30000.0
60	-203.53555428052442	61.0	30000.0
61	-76.55923934831465	62.0	30000.0
62	35.112876397365596	63.0	30000.0
63	34.586848520331294	64.0	30000.0
64	-11.49849237942285	65.0	30000.0
65	36.21557289431507	66.0	30000.0
66	-158.34315294068082	67.0	30000.0
67	-83.38352674314243	68.0	30000.0
68	-111.79749510113933	69.0	30000.0
69	-15.74405346070563	70.0	30000.0
70	15.639595938272855	71.0	30000.0
71	-254.57409130050965	72.0	30000.0
72	-182.38196318559636	73.0	30000.0
73	-206.0586866073707	74.0	30000.0
74	-138.44057044402697	75.0	30000.0
75	-1070.3344828797851	76.0	30000.0
76	-2641.52469370396	77.0	30000.0
77	-2638.474067464862	78.0	30000.0
78	-2495.2225898476327	79.0	30000.0
79	-2475.499160862037	80.0	30000.0
80	-2187.962003236338	81.0	30000.0
81	-1932.6311976992263	82.0	30000.0
82	-1722.2602451668267	83.0	30000.0
83	-1575.6733931648457	84.0	30000.0
84	-1560.7310231660622	85.0	30000.0
85	-1530.9193085346806	86.0	30000.0
86	-1361.7728380287117	87.0	30000.0
87	-1151.30803640268	88.0	30000.0
88	-939.4571954375871	89.0	30000.0
89	-845.6465093144167	90.0	30000.0
90	-474.06986305092516	91.0	30000.0
91	-309.3368533648706	92.0	30000.0
92	-315.73608389887977	93.0	30000.0
93	-285.5927591398366	94.0	30000.0
94	-289.59120546570904	95.0	30000.0
95	-355.02402350474097	96.0	30000.0
96	-362.6508388168819	97.0	30000.0
97	-370.54265251948885	98.0	30000.0
98	-403.85779784735786	99.0	30000.0
99	-437.9223035950471	100.0	30000.0
100	-506.17612596599116	101.0	30000.0
101	-605.6727535440831	102.0	30000.0
102	-747.3387072627116	103.0	30000.0
103	-800.1846625373375	104.0	30000.0
104	-810.0603825816054	105.0	30000.0
105	-819.6331506979265	106.0	30000.0
106	-830.6676004047004	107.0	30000.0
107	-845.015727353014	108.0	30000.0
108	-848.9196627427987	109.0	30000.0
109	-883.4376479951794	110.0	30000.0
110	-1015.2011563738214	111.0	30000.0
111	-1059.927449766974	112.0	30000.0
112	-1076.242143932346	113.0	30000.0
113	-1085.4132665013972	114.0	30000.0
114	-1142.7564995229461	115.0	30000.0
115	-1172.02346356479	116.0	30000.0
116	-1202.3923379425019	117.0	30000.0
117	-1223.6926867699947	118.0	30000.0
118	-1235.935081168941	119.0	30000.0
119	-1319.402196166597	120.0	30000.0
120	-1509.705344085367	121.0	30000.0
121	-1657.5880060831082	122.0	30000.0
122	-1693.7651000599226	123.0	30000.0
123	-1711.3541501133957	124.0	30000.0
124	-1661.0067154751855	125.0	30000.0
125	-1791.7935424012906	126.0	30000.0
126	-2253.0582693407787	127.0	30000.0
127	-1947.3909913021246	128.0	30000.0
128	-2056.031300920854	129.0	30000.0
129	-2224.9804813722944	130.0	30000.0
130	-2303.9982687873216	131.0	30000.0
131	-2377.829024443764	132.0	30000.0
132	-2195.4148203281597	133.0	30000.0
133	-2147.311140787768	134.0	30000.0
134	-2229.0542813541615	135.0	30000.0
135	-2298.263913449035	136.0	30000.0
136	-2300.020993119922	137.0	30000.0
137	-2370.4421376700034	138.0	30000.0
138	-2065.174911808236	139.0	30000.0
139	-1953.544654648386	140.0	30000.0
