	action_index	episode_index	time_elapsed	v_distance_reward
0	0.0	0.0	0.0	0.09868512160304373
1	0.0	0.0	1000.0	0.09156666611778295
2	0.0	0.0	2000.0	0.11496965472418669
3	0.0	0.0	3000.0	0.09852017013197653
4	0.0	0.0	4000.0	0.09717020494269374
5	0.0	0.0	5000.0	0.10523607036253388
6	0.0	0.0	6000.0	0.09330873319717246
7	2.0	0.0	7000.0	0.015522490597842794
8	2.0	0.0	7500.0	0.015578975365525771
9	2.0	0.0	8000.0	0.016269407755288637
10	2.0	0.0	8500.0	0.01617684075590678
11	0.0	0.0	9000.0	0.1012237055431196
12	2.0	0.0	10000.0	0.01570330030420688
13	2.0	0.0	10500.0	0.020163462922539975
14	0.0	0.0	11000.0	0.10104095907392006
15	0.0	0.0	12000.0	0.09776538023920418
16	0.0	0.0	13000.0	0.10888518903650979
17	0.0	0.0	14000.0	0.1000325000671578
18	0.0	0.0	15000.0	0.10110757045369041
19	0.0	0.0	16000.0	0.09797213868828697
20	0.0	0.0	17000.0	0.10148684770754514
21	2.0	0.0	18000.0	0.014965154923375178
22	2.0	0.0	18500.0	0.015264948939991934
23	2.0	0.0	19000.0	0.016068774329284226
24	0.0	0.0	19500.0	0.10027945872936077
25	0.0	0.0	20500.0	0.09316368587003901
26	0.0	0.0	21500.0	0.11053018227459876
27	0.0	0.0	22500.0	0.10215731385579116
28	0.0	0.0	23500.0	0.10002803275721184
29	0.0	0.0	24500.0	0.09058725479775613
30	1.0	0.0	25500.0	0.0161747592091758
31	0.0	0.0	26000.0	0.10110223323598916
32	0.0	0.0	27000.0	0.10408049641200585
33	2.0	0.0	28000.0	0.018554519449994197
34	0.0	0.0	28500.0	0.09924645189227924
35	1.0	0.0	29500.0	0.015582092233364915
36	1.0	0.0	30000.0	0.016284176252344695
37	0.0	0.0	30500.0	0.10084087625382926
38	2.0	0.0	31500.0	0.014572541305984434
39	2.0	0.0	32000.0	0.015420455497788954
40	2.0	0.0	32500.0	0.014969971551168809
41	2.0	0.0	33000.0	0.016136286904731695
42	2.0	0.0	33500.0	0.014660756675452724
43	2.0	0.0	34000.0	0.015304760542380244
44	0.0	0.0	34500.0	0.10051448160393527
45	0.0	0.0	35500.0	0.10043836545125567
46	0.0	0.0	36500.0	0.091074875241336
47	0.0	0.0	37500.0	0.09883304402757401
48	0.0	0.0	38500.0	0.10442962060713908
49	1.0	0.0	39500.0	0.015033339522429202
50	0.0	0.0	40000.0	0.10226105526164302
51	0.0	0.0	41000.0	0.09667459121178422
52	0.0	0.0	42000.0	0.09163299180173444
53	0.0	0.0	43000.0	0.09920800159597117
54	0.0	0.0	44000.0	0.10170467101692257
55	0.0	0.0	45000.0	0.09419892614417935
56	0.0	0.0	46000.0	0.09985568095753337
57	0.0	0.0	47000.0	0.10005959807761587
58	0.0	0.0	48000.0	0.10073596377689793
59	0.0	0.0	49000.0	0.1057104979961516
60	2.0	0.0	50000.0	0.01463440334839315
61	0.0	0.0	50500.0	0.10048502687244035
62	0.0	0.0	51500.0	0.10154028272920373
63	2.0	0.0	52500.0	0.010651494078176999
64	2.0	0.0	53000.0	0.014850267074143978
65	2.0	0.0	53500.0	0.01568179430753183
66	2.0	0.0	54000.0	0.007921183651717926
67	2.0	0.0	54500.0	0.010337710718720977
68	2.0	0.0	55000.0	0.014597862127518282
69	0.0	0.0	55500.0	0.09956304417454698
70	0.0	0.0	56500.0	0.10207022347807222
71	0.0	0.0	57500.0	0.09941214677691058
72	0.0	0.0	58500.0	0.10070700132751693
73	0.0	0.0	59500.0	0.10557317850064818
74	0.0	0.0	60500.0	0.10796988007741215
75	0.0	0.0	61500.0	0.09986309488528872
76	0.0	0.0	62500.0	0.10077435048462975
77	0.0	0.0	63500.0	0.10145847983785133
78	0.0	0.0	64500.0	0.09933951476656623
79	0.0	0.0	65500.0	0.10018225225682312
80	1.0	0.0	66500.0	0.01485667511963624
81	0.0	0.0	67000.0	0.10050678377400836
82	0.0	0.0	68000.0	0.09799956866007459
83	0.0	0.0	69000.0	0.10064310350220924
