	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
14	-101.27289895107832	22.611649135959933	1.0	0.0	0.99776224	1.0	[0.15, 0.06289559675104994, 0.0418199397967164, 0.15]	-1.696759048752496	0.0015064107704020739	18.0	1.38939143761479
15	-103.11827581953543	24.01283742838219	1.0	0.0	0.9976024	1.0	[0.15, 0.15, 0.04012376316004066, 0.05499712014607204]	-1.845376868457102	0.01419814573380927	18.0	1.4011882924222587
16	-104.26012948114274	25.46451896254195	2.0	0.0	0.99744256	1.0	[0.15, 0.15, 0.04236193349902422, 0.15]	-1.141853661607314	0.011729515673948698	18.0	1.451681534159756
17	-106.00645232387362	26.926849039989232	2.0	0.0	0.99728272	1.0	[0.15, 0.048129539420015306, 0.04683424128248831, 0.15]	-1.7463228427308692	0.014580431404752443	18.0	1.4623300774472838
18	-107.87240516202758	28.33019641223624	1.0	0.0	0.99712288	1.0	[0.15, 0.05568757696060735, 0.03931846810025371, 0.15]	-1.8659528381539636	0.012289832552326092	18.0	1.4033473722470082
19	-119.15425023065275	29.856949036248935	0.0	0.0	0.99696304	1.0	[0.15, 0.018062757286679828, 0.002426443121350004, 0.03165618379186734]	-11.28184506862517	0.037985424819285005	21.0	1.526752624012694
20	-131.97724345098905	31.384764542945547	0.0	0.0	0.9968032	1.0	[0.15, 0.019209746198724426, 0.002332823239556443, 0.029841155057094056]	-12.822993220336297	0.004593000712410244	24.0	1.527815506696611
21	-145.03552866521377	32.913393380297244	0.0	0.0	0.99664336	1.0	[0.15, 0.020243481368530773, 0.0022534855457496854, 0.0283127567469929]	-13.058285214224716	0.0034875344829480605	27.0	1.5286288373516967
22	-158.6606402525628	34.443599866758866	0.0	0.0	0.99648352	1.0	[0.15, 0.022154746126976377, 0.0020492220016702836, 0.02554430711541593]	-13.625111587349044	0.0037656020605190835	30.0	1.5302064864616234
23	-168.21324435948344	36.001262457341085	2.0	0.0	0.99632368	1.0	[0.15, 0.010785300569013561, 0.0043787925579904415, 0.15]	-9.552604106920633	0.011179005730770606	30.0	1.5576625905822208
24	-175.2155337872806	37.49766481598844	1.0	0.0	0.99616384	1.0	[0.15, 0.02874164886818415, 0.008000408603412055, 0.03409907255817342]	-7.00228942779716	0.01333117137801183	30.0	1.496402358647358
25	-188.85809491544705	39.02811008582356	0.0	0.0	0.996004	1.0	[0.15, 0.025767446026713887, 0.0020129064132154532, 0.021815499962997593]	-13.642561128166447	0.006352401796657725	33.0	1.5304452698351232
26	-197.9398967169667	40.58386085246904	2.0	0.0	0.99584416	1.0	[0.15, 0.011920755371584903, 0.004696261914184603, 0.15]	-9.081801801519653	0.013362926620096353	33.0	1.5557507666454748
