	accu_reward	episode_index	time_passed
0	-81.35376689124213	1.0	30000.0
1	-183.47002437526373	2.0	30000.0
2	-104.29018745358498	3.0	30000.0
3	45.52160679889981	4.0	30000.0
4	-527.4207075505319	5.0	30000.0
5	-2116.1488622779707	6.0	30000.0
6	-803.5226302839226	7.0	30000.0
7	-336.199598262879	8.0	30000.0
8	-587.4193064891408	9.0	30000.0
9	-647.722182305278	10.0	30000.0
10	-1227.6851311861474	11.0	30000.0
11	-49.90081436344488	12.0	30000.0
12	-36.75746806237542	13.0	30000.0
13	15.558828001851106	14.0	30000.0
14	30.359930187389253	15.0	30000.0
15	24.221611323012272	16.0	30000.0
16	24.78372958195984	17.0	30000.0
17	26.817353151133307	18.0	30000.0
18	-88.41322523777899	19.0	30000.0
19	-538.8525480659209	20.0	30000.0
20	-246.76317700687423	21.0	30000.0
21	-95.19456810634931	22.0	30000.0
22	-147.8699019814853	23.0	30000.0
23	-8.600031085393264	24.0	30000.0
24	-10.780556376737655	25.0	30000.0
25	-28.792579348863086	26.0	30000.0
26	-4.426537506523008	27.0	30000.0
27	-14.544210252866705	28.0	30000.0
28	-162.66836052469534	29.0	30000.0
29	-178.73359065140403	30.0	30000.0
30	-116.8514720073455	31.0	30000.0
31	-186.03034010453285	32.0	30000.0
32	-41.22489869350836	33.0	30000.0
33	-21.487890402630807	34.0	30000.0
34	-61.62657957008878	35.0	30000.0
35	-39.73030617624845	36.0	30000.0
36	-84.96667182374051	37.0	30000.0
37	-143.36256248392894	38.0	30000.0
38	-335.48704043044063	39.0	30000.0
39	-25.83288606437004	40.0	30000.0
40	18.36244943171693	41.0	30000.0
41	26.933662488794813	42.0	30000.0
42	34.94103588282533	43.0	30000.0
43	35.45248429550041	44.0	30000.0
44	21.109661567131	45.0	30000.0
45	-2.7350763630125554	46.0	30000.0
46	31.234065043861204	47.0	30000.0
47	38.044300362280815	48.0	30000.0
48	38.50499613777496	49.0	30000.0
49	38.30499613777497	50.0	30000.0
50	38.10207287136216	51.0	30000.0
51	38.104996137774975	52.0	30000.0
52	38.104996137774975	53.0	30000.0
53	38.504996137774974	54.0	30000.0
54	38.30499613777497	55.0	30000.0
55	38.504996137774974	56.0	30000.0
56	38.30499613777497	57.0	30000.0
57	-751.7857930202487	58.0	30000.0
58	-1287.985292224674	59.0	30000.0
59	-1315.2693697719556	60.0	30000.0
60	-1308.2301030212593	61.0	30000.0
61	-1325.7768895488928	62.0	30000.0
62	-674.8081977130937	63.0	30000.0
63	-656.0654230852646	64.0	30000.0
64	-712.5085524894347	65.0	30000.0
65	-699.2694179352347	66.0	30000.0
66	-861.7750674883672	67.0	30000.0
67	-589.3357235166551	68.0	30000.0
68	-593.7889984717887	69.0	30000.0
69	-609.4895665600851	70.0	30000.0
70	-616.4272606532625	71.0	30000.0
71	-770.3402229853724	72.0	30000.0
72	-1490.686292292632	73.0	30000.0
73	-680.8733191020578	74.0	30000.0
74	37.42034803517651	75.0	30000.0
75	38.50499613777496	76.0	30000.0
76	38.30499613777498	77.0	30000.0
77	38.30499613777497	78.0	30000.0
78	38.30499613777497	79.0	30000.0
79	38.30499613777497	80.0	30000.0
80	38.104996137774975	81.0	30000.0
81	38.104996137774975	82.0	30000.0
82	38.30499613777497	83.0	30000.0
83	37.6412474498348	84.0	30000.0
84	23.557954285646392	85.0	30000.0
85	-141.66303464869284	86.0	30000.0
86	9.658575458482044	87.0	30000.0
87	38.704996137774955	88.0	30000.0
88	38.30499613777498	89.0	30000.0
89	38.50499613777496	90.0	30000.0
90	38.704996137774955	91.0	30000.0
91	38.30499613777497	92.0	30000.0
92	38.104996137774975	93.0	30000.0
93	38.30499613777497	94.0	30000.0
94	38.50499613777496	95.0	30000.0
95	38.504996137774974	96.0	30000.0
96	38.104996137774975	97.0	30000.0
97	38.104996137774975	98.0	30000.0
98	38.30499613777497	99.0	30000.0
99	38.104996137774975	100.0	30000.0
100	38.30499613777497	101.0	30000.0
101	38.30499613777498	102.0	30000.0
102	38.30499613777497	103.0	30000.0
103	38.104996137774975	104.0	30000.0
104	38.30499613777497	105.0	30000.0
105	38.104996137774975	106.0	30000.0
106	38.104996137774975	107.0	30000.0
107	38.104996137774975	108.0	30000.0
108	38.104996137774975	109.0	30000.0
109	38.104996137774975	110.0	30000.0
110	38.104996137774975	111.0	30000.0
111	38.50499613777496	112.0	30000.0
112	38.104996137774975	113.0	30000.0
113	38.104996137774975	114.0	30000.0
114	39.10499613777495	115.0	30000.0
115	38.30499613777497	116.0	30000.0
116	38.30499613777497	117.0	30000.0
117	38.104996137774975	118.0	30000.0
118	38.704996137774955	119.0	30000.0
119	38.50499613777496	120.0	30000.0
120	38.104996137774975	121.0	30000.0
121	38.104996137774975	122.0	30000.0
122	30.829965091432637	123.0	30000.0
123	27.93997122226403	124.0	30000.0
124	38.30499613777498	125.0	30000.0
125	38.30499613777497	126.0	30000.0
126	38.30499613777497	127.0	30000.0
127	38.104996137774975	128.0	30000.0
128	38.504996137774974	129.0	30000.0
129	38.104996137774975	130.0	30000.0
130	38.104996137774975	131.0	30000.0
131	38.50499613777496	132.0	30000.0
132	38.30499613777497	133.0	30000.0
133	38.104996137774975	134.0	30000.0
134	38.30499613777497	135.0	30000.0
135	38.104996137774975	136.0	30000.0
136	38.30499613777497	137.0	30000.0
137	38.104996137774975	138.0	30000.0
138	38.30499613777498	139.0	30000.0
139	-1725.6314055439511	140.0	30000.0
140	-3053.8493576544897	141.0	30000.0
141	-3095.2956328801843	142.0	30000.0
142	-3125.929806069221	143.0	30000.0
