	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
0	-0.03323417359706265	1.516793932223763	4.0	0.0	1.0	[0.08320606777623729, 0.15, 0.15, 0.15]	-0.03323417359706265	0.014104610996487233	0.0	1.516793932223763
1	-0.030222486789538053	2.7385851774729195	3.0	0.0	1.0	[0.09372446500661334, 0.15, 0.15, 0.15]	0.0030116868075245945	0.010819911035438114	0.0	1.2217912452491564
2	2.8333185225474486	3.678567196213838	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.863541009336987	0.06841310888861009	3.5	0.9399820187409189
3	2.9958058715305804	4.939426000148659	2.0	0.0	1.0	[0.15, 0.15, 0.15, 0.148459519432265]	0.16248734898313194	0.050601501221589	5.3	1.2608588039348212
4	3.091654819159698	6.399551453495704	3.0	0.0	1.0	[0.15, 0.15, 0.15, 0.13987454665295548]	0.09584894762911736	0.008163657834964824	5.3	1.4601254533470445
5	3.0709947160451283	7.78207720779475	1.0	0.0	1.0	[0.15, 0.15, 0.15, 0.10450946611790296]	-0.020660103114569672	0.05508161341098328	7.1	1.3825257542990468
6	3.0454530030480087	8.972937666560725	3.0	0.0	1.0	[0.15, 0.15, 0.15, 0.11060793896178706]	-0.025541712997119763	0.016879475387363167	7.1	1.1908604587659748
7	5.174471931407455	10.484096553407667	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.04706864950234098]	2.129018928359446	0.06905601444421662	10.6	1.5111588868469423
8	4.452206752289211	11.999666764484545	4.0	0.0	1.0	[0.15, 0.15, 0.15, 0.04236109285419884]	-0.7222651791182437	0.011173665161697188	10.6	1.515570211076878
9	2.827287159321689	13.567112689484395	1.0	0.0	1.0	[0.15, 0.15, 0.15, 0.018560660615413296]	-1.624919592967522	0.04045463715726276	12.4	1.5674459249998507
10	-1.3830192752941177	15.073388029403155	3.0	0.0	1.0	[0.15, 0.15, 0.011918465189174159, 0.053978487615315845]	-4.210306434615807	0.021400013999894312	12.4	1.506275339918761
11	-7.23147306281361	16.61994532713301	4.0	0.0	1.0	[0.15, 0.15, 0.00817055687535297, 0.029642876247695214]	-5.848453787519492	0.012342036200471257	12.4	1.5465572977298536
12	-11.486514341558205	18.12664809498131	3.0	0.0	1.0	[0.15, 0.15, 0.011738667760937358, 0.05387581344943677]	-4.255041278744597	0.011678933913097874	12.4	1.5067027678482985
13	-19.399097356786726	19.65660910710506	0.0	0.0	1.0	[0.15, 0.15, 0.0037124358842603074, 0.046306180729936454]	-7.9125830152285195	0.01285959415360087	15.9	1.5299610121237508
14	-29.4372283258043	21.191539026718644	2.0	0.0	1.0	[0.15, 0.15, 0.0027559648079691344, 0.03984096938427512]	-10.038130969017573	0.00977035414268741	17.7	1.5349299196135866
15	-40.03783795134985	22.730963653559126	2.0	0.0	1.0	[0.15, 0.15, 0.002528371816117875, 0.03636734327967702]	-10.600609625545554	0.006096459184895161	19.5	1.5394246268404825
16	-50.4660616201441	24.271450633894425	2.0	0.0	1.0	[0.15, 0.15, 0.0026253383320797665, 0.03511832129397385]	-10.428223668794256	0.004241481090401226	21.3	1.5404869803352976
17	-60.922492010238834	25.813785676724805	0.0	0.0	1.0	[0.15, 0.15, 0.0025374238334789577, 0.033656950999424444]	-10.45643039009473	0.005168240212176046	24.8	1.5423350428303824
18	-71.49033139317207	27.358803629823175	0.0	0.0	1.0	[0.15, 0.15, 0.0024778009209305385, 0.031319885105370954]	-10.567839382933235	0.007594118883041993	28.3	1.54501795309837
19	-83.55441528149555	28.90774490079893	2.0	0.0	1.0	[0.15, 0.15, 0.0020557866306630214, 0.028826032525353457]	-12.06408388832348	0.003806254299090586	30.1	1.5489412709757555
20	-91.03069175686716	30.452763301431773	3.0	0.0	1.0	[0.15, 0.010192724750941958, 0.00793431833992602, 0.15]	-7.4762764753716064	0.013471172694481543	30.1	1.5450184006328418
21	-99.6346521002729	32.00692356864184	0.0	0.0	1.0	[0.15, 0.008196546237920746, 0.00577274872818456, 0.15]	-8.603960343405742	0.00984656932569036	33.6	1.5541602672100643
