	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
0	1.6138332014053622	1.6	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6138332014053622	0.03717041369031947	3.0	1.6
1	2.8320608260568836	3.2	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.2182276246515216	0.027280274271473455	6.0	1.6
2	4.278366158939992	4.800000000000001	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.4463053328831088	0.03298221697726313	9.0	1.6
3	4.506040305529699	6.4	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.22767414658970664	0.0025164373199280804	12.0	1.6
4	6.68373390082262	7.4712308271810235	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.177693595292921	0.05126692353750844	15.0	1.0712308271810231
5	9.233844917613037	9.071230827181024	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.5501110167904164	0.060577359074945825	18.0	1.6
6	11.617096441297557	10.671230827181024	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.383251523684519	0.056405871747298386	21.0	1.6
7	12.956315232202058	12.271230827181023	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.339218790904501	0.03030505342779794	24.0	1.6
8	14.252186054815413	13.871230827181023	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.2958708226133548	0.029221354220519285	27.0	1.6
9	15.926550515522612	15.471230827181023	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6743644607071992	0.03868369517286539	30.0	1.6
10	17.27924708272812	17.071230827181022	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.3526965672055073	0.0306419978353231	33.0	1.6
11	19.42845054401478	18.671230827181024	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.149203461286662	0.05055467018735197	36.0	1.6
12	21.66572513517022	19.71570744596644	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.2372745911554395	0.0527564484340714	39.0	1.0444766187854173
13	24.21423648050499	21.315707445966442	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.5485113453347696	0.06053736728855466	42.0	1.6
14	26.697877385557703	22.915707445966444	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.4836409050527126	0.058915606281503226	45.0	1.6
15	27.48301425053942	24.515707445966445	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.7851368649817179	0.01645300527972836	48.0	1.6
16	29.67942466352603	26.115707445966446	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.196410412986613	0.05173484397985074	51.0	1.6
17	31.90403298472568	27.149504185524293	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.224608321199651	0.052439791685176686	54.0	1.0337967395578451
18	34.45550512434599	28.749504185524295	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.5514721396203064	0.06061138714569307	57.0	1.6
19	36.73256507058117	30.349504185524296	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.27705994623518	0.053751082311064916	60.0	1.6
20	38.8531298944926	31.949504185524297	0.0	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.1205648239114288	0.04983870425297113	63.0	1.6
21	41.06852936406716	32.98017228703152	0.0	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.2153994695745616	0.05220957039454945	66.0	1.0306681015072212
