	action_index	object_in_range	v_measure_calc_distance	v_measure_sensor_distance
0	0.0	0.0	3.0	1.316353205425097
1	0.0	0.0	3.0	1.3170652935777005
2	0.0	0.0	3.0	1.3184964406936928
3	0.0	0.0	3.0	1.1988267409618074
4	0.0	0.0	3.0	1.1992575023181604
5	0.0	0.0	3.0	1.004227953561906
6	2.0	1.0	0.0	0.9915962192450785
7	2.0	1.0	0.0	0.982996303215612
8	2.0	1.0	0.0	1.2364382310501782
9	0.0	0.0	3.0	0.9307667546593228
10	2.0	1.0	0.0	1.183727923876654
11	0.0	0.0	3.0	1.185363364062089
12	0.0	0.0	3.0	0.9901654503877277
13	2.0	1.0	0.0	0.9887910482403781
14	2.0	1.0	0.0	0.9822593182536712
15	2.0	1.0	0.0	1.1713432334881468
16	0.0	0.0	3.0	1.072264456202782
17	0.0	0.0	3.0	0.99811906369705
18	0.0	0.0	3.0	1.1931666102572156
19	0.0	0.0	3.0	1.2152436510290516
20	0.0	0.0	3.0	1.237000914694669
21	0.0	0.0	3.0	1.2587021504330784
22	0.0	0.0	3.0	1.2786039832225908
23	0.0	0.0	3.0	1.3005861235787757
24	2.0	1.0	0.0	1.307959064386856
25	0.0	0.0	3.0	1.2598696264242077
26	0.0	0.0	3.0	1.4178460422656638
27	0.0	0.0	3.0	1.3813861281247313
28	0.0	0.0	3.0	1.372157863225898
29	0.0	0.0	3.0	1.5055105173887702
30	0.0	0.0	3.0	1.501902632484492
31	0.0	0.0	3.0	1.4899564533464154
32	0.0	0.0	3.0	1.4785679885306582
33	0.0	0.0	3.0	1.4654328110647037
34	0.0	0.0	3.0	1.4544382723156142
35	0.0	0.0	3.0	1.441680683691689
36	0.0	0.0	3.0	1.4231453113889536
37	0.0	0.0	3.0	1.6
38	0.0	0.0	3.0	1.6
39	0.0	0.0	3.0	1.6
40	0.0	0.0	3.0	1.6
41	0.0	0.0	3.0	1.6
42	0.0	0.0	3.0	1.6
43	0.0	0.0	3.0	1.6
44	0.0	0.0	3.0	1.6
45	0.0	0.0	3.0	1.6
46	0.0	0.0	3.0	1.6
47	0.0	0.0	3.0	1.6
48	0.0	0.0	3.0	1.6
49	0.0	0.0	3.0	1.6
50	0.0	0.0	3.0	1.6
51	0.0	0.0	3.0	1.6
52	0.0	0.0	3.0	1.6
53	0.0	0.0	3.0	1.6
54	0.0	0.0	3.0	1.6
55	0.0	0.0	3.0	1.4062765494246334
56	0.0	0.0	3.0	1.6
57	0.0	0.0	3.0	1.6
58	0.0	0.0	3.0	1.6
59	0.0	0.0	3.0	1.6
60	0.0	0.0	3.0	1.6
61	0.0	0.0	3.0	1.6
62	0.0	0.0	3.0	1.6
63	0.0	0.0	3.0	1.6
64	0.0	0.0	3.0	1.6
65	0.0	0.0	3.0	1.6
66	0.0	0.0	3.0	1.2327271064058158
67	2.0	1.0	0.0	1.24033849744495
68	2.0	1.0	0.0	1.0492884487318466
69	2.0	1.0	0.0	1.2470686117750156
70	0.0	0.0	3.0	1.2935207670553965
71	0.0	0.0	3.0	1.1567293733294577
72	2.0	1.0	0.0	1.3466201289031696
73	0.0	0.0	3.0	1.3828326970859588
74	2.0	1.0	0.0	1.3630263584121722
75	0.0	0.0	3.0	1.1636486526665728
76	0.0	0.0	3.0	1.1957660285475136
77	0.0	0.0	3.0	1.2138934924235805
78	0.0	0.0	3.0	1.2299435274101362
79	0.0	0.0	3.0	1.2468481652795675
80	0.0	0.0	3.0	1.2651509575419624
81	0.0	0.0	3.0	1.2828443416530606
82	0.0	0.0	3.0	1.3030657212742707
83	2.0	1.0	0.0	1.3095189367904956
84	0.0	0.0	3.0	1.2555605617725356
85	0.0	0.0	3.0	1.4194465910602556
86	0.0	0.0	3.0	1.3920683557544962
87	0.0	0.0	3.0	1.3649948047865408
88	0.0	0.0	3.0	1.338324560082465
89	0.0	0.0	3.0	1.3103529324257583
90	0.0	0.0	3.0	1.2840527080357118
91	0.0	0.0	3.0	1.4688171772394756
92	0.0	0.0	3.0	1.4568557126420678
93	0.0	0.0	3.0	1.4458593814467127
94	0.0	0.0	3.0	1.4360367751989087
95	0.0	0.0	3.0	1.4249091101601379
96	0.0	0.0	3.0	1.4116646421003076
97	0.0	0.0	3.0	1.4001346524209228
98	0.0	0.0	3.0	1.6
99	0.0	0.0	3.0	1.6
100	0.0	0.0	3.0	1.6
101	0.0	0.0	3.0	1.6
102	0.0	0.0	3.0	1.6
103	0.0	0.0	3.0	1.6
104	0.0	0.0	3.0	1.6
105	0.0	0.0	3.0	1.6
106	0.0	0.0	3.0	1.6
107	0.0	0.0	3.0	1.6
108	0.0	0.0	3.0	1.6
109	0.0	0.0	3.0	1.6
110	0.0	0.0	3.0	1.6
111	0.0	0.0	3.0	1.6
112	0.0	0.0	3.0	1.6
113	0.0	0.0	3.0	1.6
114	0.0	0.0	3.0	1.6
115	0.0	0.0	3.0	1.6
116	0.0	0.0	3.0	1.6
117	0.0	0.0	3.0	1.6
118	0.0	0.0	3.0	1.6
119	0.0	0.0	3.0	1.6
120	0.0	0.0	3.0	1.6
121	0.0	0.0	3.0	1.6
122	0.0	0.0	3.0	1.6
123	0.0	0.0	3.0	1.6
124	0.0	0.0	3.0	1.6
125	0.0	0.0	3.0	1.6
126	0.0	0.0	3.0	1.6
127	0.0	0.0	3.0	1.6
128	0.0	0.0	3.0	1.6
129	0.0	0.0	3.0	1.6
130	0.0	0.0	3.0	1.6
131	0.0	0.0	3.0	1.6
132	0.0	0.0	3.0	1.6
133	0.0	0.0	3.0	1.6
134	0.0	0.0	3.0	1.061374343063679
135	2.0	1.0	0.0	0.8687514452455967
136	2.0	1.0	0.0	1.069096197031038
137	2.0	1.0	0.0	1.0609927479737133
138	2.0	1.0	0.0	1.251805054440988
139	0.0	0.0	3.0	1.3163537348559582
140	0.0	0.0	3.0	1.1799159030054351
141	2.0	1.0	0.0	1.3554864283551669
142	0.0	0.0	3.0	1.3715496063485597
143	0.0	0.0	3.0	1.3966007401332228
144	2.0	1.0	0.0	1.1889134388531633
145	0.0	0.0	3.0	1.2395306374802522
146	0.0	0.0	3.0	1.2532390958637998
147	0.0	0.0	3.0	1.2291648947574803
148	0.0	0.0	3.0	1.272276941902244
149	0.0	0.0	3.0	1.2895764070443416
150	0.0	0.0	3.0	1.3037598752924864
151	2.0	1.0	0.0	1.2942803158984657
152	0.0	0.0	3.0	1.4222131895187915
153	0.0	0.0	3.0	1.3922915517514691
154	0.0	0.0	3.0	1.3606252115151045
155	0.0	0.0	3.0	1.3261871045658982
156	0.0	0.0	3.0	1.492285865127257
157	0.0	0.0	3.0	1.482129664265963
158	0.0	0.0	3.0	1.4675907563085215
159	0.0	0.0	3.0	1.4542737496543512
160	0.0	0.0	3.0	1.4403017669213143
161	0.0	0.0	3.0	1.4246785337338848
162	0.0	0.0	3.0	1.4119402310373148
163	0.0	0.0	3.0	1.6
164	0.0	0.0	3.0	1.6
165	0.0	0.0	3.0	1.6
166	0.0	0.0	3.0	1.6
167	0.0	0.0	3.0	1.6
168	0.0	0.0	3.0	1.6
169	0.0	0.0	3.0	1.4138974270318363
170	0.0	0.0	3.0	1.4261342946825009
171	0.0	0.0	3.0	1.4378524166225763
172	0.0	0.0	3.0	1.6
173	0.0	0.0	3.0	1.6
