	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	object_in_range	observations:	reward	v_measure_calc_distance	v_measure_sensor_distance
0	0.09779339250768394	1.6	6.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.09779339250768394	1.5	1.6
1	0.2506470741606077	3.2	2.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.15285368165292376	3.3	1.6
2	0.4042064707329813	4.800000000000001	2.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.1535593965723736	5.1	1.6
3	0.5028384135430919	6.4	6.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.0986319428101105	6.6	1.6
4	0.6521650038240558	8.0	1.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.14932659028096398	8.4	1.6
5	0.7505571353101632	9.6	5.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.0983921314861074	9.9	1.6
6	0.8497639090303175	11.2	5.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.09920677372015431	11.4	1.6
7	0.9805817792956105	12.799999999999999	3.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.13081787026529304	11.4	1.6
8	1.0784848636000337	14.399999999999999	5.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.09790308430442317	12.9	1.6
9	1.2321878848499386	15.999999999999998	2.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.15370302124990484	14.700000000000001	1.6
10	1.3806259232868539	17.599999999999998	1.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.14843803843691522	16.5	1.6
11	1.5232416560122104	19.2	2.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.14261573272535652	18.3	1.6
12	2.1814753537194913	20.8	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.6582336977072808	21.8	1.6
13	2.3157867507282694	22.400000000000002	3.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.13431139700877825	21.8	1.6
14	2.4219883453568984	24.000000000000004	5.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.10620159462862899	23.3	1.6
15	2.5206563598471843	25.600000000000005	5.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.09866801449028605	24.8	1.6
16	2.650873607600727	27.200000000000006	4.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.1302172477535424	24.8	1.6
17	2.7520382691543617	28.800000000000008	5.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.10116466155363467	26.3	1.6
18	4.583375557731404	30.40000000000001	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.831337288577043	29.8	1.6
19	4.727398774363347	32.00000000000001	1.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.144023216631942	31.6	1.6
20	4.825964857338833	33.60000000000001	5.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.09856608297548612	33.1	1.6
21	6.687735842315261	35.20000000000001	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.8617709849764286	36.6	1.6
22	6.835280455013223	36.80000000000001	1.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.14754461269796165	38.4	1.6
23	6.966279108662423	38.40000000000001	3.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.13099865364920055	38.4	1.6
24	7.116660787758321	39.634703777656576	2.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.1503816790958981	40.199999999999996	1.2347037776565606
25	7.264154793099348	40.907242962432214	1.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.14749400534102727	41.99999999999999	1.2725391847756375
26	7.379238956913909	42.22379128104772	2.0	0.0	1.0	[0.15, 0.13828619813848844, 0.15, 0.15]	0.11508416381456063	43.79999999999999	1.3165483186155043
27	7.398205209209132	43.40679399251634	1.0	0.0	1.0	[0.15, 0.11545050129792006, 0.15, 0.15]	0.01896625229522277	45.59999999999999	1.1830027114686223
28	7.392825702131706	44.75903936203814	3.0	0.0	1.0	[0.15, 0.11546847256756522, 0.15, 0.15]	-0.005379507077426288	45.59999999999999	1.3522453695217937
29	7.41395206236089	46.09831068157566	4.0	0.0	1.0	[0.15, 0.12102602146924468, 0.15, 0.15]	0.021126360229183766	45.59999999999999	1.3392713195375239
30	7.463130421996554	47.4045600930109	5.0	0.0	1.0	[0.15, 0.1357592045146841, 0.15, 0.15]	0.04917835963566381	47.09999999999999	1.3062494114352374
31	7.561045030636391	48.684422595424195	6.0	0.0	1.0	[0.15, 0.1496702207654054, 0.15, 0.15]	0.09791460863983714	48.59999999999999	1.279862502413297
32	7.655115324414763	49.99652349927864	1.0	0.0	1.0	[0.15, 0.1338635268884768, 0.15, 0.15]	0.09407029377837177	50.399999999999984	1.3121009038544449
33	8.98257760618134	51.320121541550066	0.0	0.0	1.0	[0.15, 0.12541967522073755, 0.15, 0.15]	1.3274622817665782	53.899999999999984	1.3235980422714286
34	9.058799374983208	52.59784341401473	5.0	0.0	1.0	[0.15, 0.14410745230202035, 0.15, 0.15]	0.07622176880186765	55.399999999999984	1.2777218724646642
35	9.214826080043652	54.03845034525077	1.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.15602670506044425	57.19999999999998	1.4406069312360406
