	accu_reward	episode_index	prey_pos	time_passed
0	44.90499613777485	1.0	[-0.8172541856765747, -0.2450602799654007, 0.03733140975236893]	30000.0
1	46.5049961377748	2.0	[-0.876544177532196, -0.14968518912792206, 0.037073809653520584]	30000.0
2	45.104996137774855	3.0	[-0.7675797343254089, -0.09661287069320679, 0.0381380096077919]	30000.0
3	53.504996137774924	4.0	[-0.17570345103740692, -0.28548920154571533, 0.03874320164322853]	30000.0
4	-381.04679433105485	5.0	[1.7021251916885376, -2.400193452835083, 0.037757474929094315]	30000.0
5	-551.4279832494557	6.0	[2.3868672847747803, -1.1515824794769287, 0.038345228880643845]	30000.0
6	52.10823651629014	7.0	[0.4278249740600586, 1.3526538610458374, 0.037276171147823334]	30000.0
7	-47.06350836525334	8.0	[-0.13135452568531036, 0.7824435234069824, 0.03771371394395828]	30000.0
8	76.78279499520862	9.0	[1.8228870630264282, -2.110663414001465, 0.03734682500362396]	30000.0
9	79.43529217856391	10.0	[1.510994553565979, 1.275215744972229, 0.03903857618570328]	30000.0
10	71.71959898813834	11.0	[-1.2300583124160767, 0.30837875604629517, 0.037366531789302826]	30000.0
11	-184.672754256003	12.0	[-1.299501657485962, 0.28068459033966064, 0.04783579707145691]	30000.0
12	13.11867675486912	13.0	[-1.292230486869812, 0.2756720781326294, 0.03895508497953415]	30000.0
13	37.0915275424634	14.0	[-1.2550551891326904, 0.25838103890419006, 0.03829871118068695]	30000.0
14	-40.35449154531751	15.0	[0.18669922649860382, -0.05334445834159851, 0.06074022501707077]	30000.0
15	7.4146996708328565	16.0	[2.2321085929870605, 0.6998332142829895, 0.0386817567050457]	30000.0
16	49.73968844936911	17.0	[1.9989283084869385, 0.04882310703396797, 0.04359262436628342]	30000.0
17	66.09390848158947	18.0	[2.10962176322937, 0.2243695706129074, 0.03716287761926651]	30000.0
18	64.92017023861841	19.0	[2.2676408290863037, 0.25012925267219543, 0.037052951753139496]	30000.0
19	35.991868740965295	20.0	[1.899087905883789, 0.06072155758738518, 0.04332701116800308]	30000.0
20	-10.613372539148507	21.0	[0.7419907450675964, -0.4111928939819336, 0.03715489059686661]	30000.0
21	34.96899202549638	22.0	[1.6839748620986938, 0.9400208592414856, 0.03715791553258896]	30000.0
22	52.74153229079382	23.0	[1.7344129085540771, 1.1852965354919434, 0.03753092139959335]	30000.0
23	-43.437982925354454	24.0	[1.5248371362686157, 1.1207826137542725, 0.041587382555007935]	30000.0
24	-62.619658089479685	25.0	[1.9887535572052002, 0.9430282711982727, 0.05233479291200638]	30000.0
25	44.636846220982655	26.0	[-0.44473594427108765, 1.3639425039291382, 0.03723684698343277]	30000.0
26	32.827454875707424	27.0	[0.4836898446083069, -1.6836315393447876, 0.03714187443256378]	30000.0
27	10.626738899429437	28.0	[-0.1900954246520996, -0.9086219072341919, 0.047422442585229874]	30000.0
28	-39.01615116652639	29.0	[0.5195438265800476, -2.283393621444702, 0.037274617701768875]	30000.0
29	-126.57929146692724	30.0	[-0.046503737568855286, -1.9771263599395752, 0.04524911940097809]	30000.0
30	-84.68591963621952	31.0	[-0.2744717597961426, -0.9973844289779663, 0.04010538011789322]	30000.0
31	37.16971851428993	32.0	[-1.3259828090667725, -2.3005008697509766, 0.037785448133945465]	30000.0
32	31.52039278445026	33.0	[2.2863869667053223, -2.106745481491089, 0.038025904446840286]	30000.0
33	64.57236592352696	34.0	[2.260573148727417, 1.2886990308761597, 0.037942398339509964]	30000.0
34	-573.2041824807376	35.0	[2.4124882221221924, 1.4202804565429688, 0.037124019116163254]	30000.0
35	-727.3240566056077	36.0	[1.9698498249053955, 1.313944697380066, 0.03785305097699165]	30000.0
36	-133.1616807898367	37.0	[0.2926430106163025, -0.315409392118454, 0.037161555141210556]	30000.0
37	56.63210540833008	38.0	[0.7766807675361633, -1.7649040222167969, 0.03710344061255455]	30000.0
38	82.9439217061749	39.0	[0.4892411231994629, 1.3393328189849854, 0.03721383213996887]	30000.0
39	63.2158714590529	40.0	[-0.15709003806114197, -0.9497936367988586, 0.03715097904205322]	30000.0
40	-12.756400762858792	41.0	[1.983081579208374, -2.416071891784668, 0.060493964701890945]	30000.0
41	-57.0250993283744	42.0	[1.7388086318969727, -1.650191068649292, 0.043313320726156235]	30000.0
42	-32.06803365284949	43.0	[1.4891326427459717, -1.536534070968628, 0.03822329267859459]	30000.0
43	97.10499613777495	44.0	[1.485777735710144, -1.533125638961792, 0.03382141888141632]	30000.0
44	97.50499613777495	45.0	[1.4873154163360596, -1.5336790084838867, 0.032879672944545746]	30000.0
45	96.90499613777494	46.0	[1.4869917631149292, -1.5344334840774536, 0.03255181759595871]	30000.0
46	97.30499613777495	47.0	[1.4870973825454712, -1.5348631143569946, 0.03244451805949211]	30000.0
47	97.50499613777495	48.0	[1.4873542785644531, -1.5351345539093018, 0.032514799386262894]	30000.0
48	97.50499613777495	49.0	[1.487502932548523, -1.5357645750045776, 0.03234365954995155]	30000.0
49	97.90499613777496	50.0	[1.4877123832702637, -1.535787582397461, 0.03263311833143234]	30000.0
50	97.90499613777496	51.0	[1.487714409828186, -1.5363574028015137, 0.03225608915090561]	30000.0
51	97.50499613777495	52.0	[1.4875905513763428, -1.5366300344467163, 0.03253346309065819]	30000.0
52	98.10499613777496	53.0	[1.4878672361373901, -1.5370420217514038, 0.032410331070423126]	30000.0
53	97.90499613777496	54.0	[1.4881831407546997, -1.5375927686691284, 0.03254560008645058]	30000.0
54	96.90499613777494	55.0	[1.4875673055648804, -1.5390079021453857, 0.03444104269146919]	30000.0
55	94.1049961377749	56.0	[1.4884638786315918, -1.5368690490722656, 0.03251025825738907]	30000.0
56	95.70499613777497	57.0	[1.4887136220932007, -1.5374314785003662, 0.03242095559835434]	30000.0
57	97.90499613777496	58.0	[1.4887079000473022, -1.5378644466400146, 0.03229954093694687]	30000.0
58	97.90499613777496	59.0	[1.4890538454055786, -1.5381046533584595, 0.03253686800599098]	30000.0
59	95.10499613777492	60.0	[1.4889087677001953, -1.5381877422332764, 0.03240928798913956]	30000.0
60	97.90499613777496	61.0	[1.4889060258865356, -1.5386741161346436, 0.0322965532541275]	30000.0
61	91.70499613777487	62.0	[1.4888851642608643, -1.539215326309204, 0.03241932764649391]	30000.0
62	97.70499613777496	63.0	[1.4891636371612549, -1.539608120918274, 0.0325041227042675]	30000.0
63	92.70499613777497	64.0	[1.489269495010376, -1.5395522117614746, 0.03261885792016983]	30000.0
64	91.70499613777493	65.0	[1.4889240264892578, -1.540102243423462, 0.032374057918787]	30000.0
65	87.50499613777491	66.0	[1.4890711307525635, -1.5404435396194458, 0.03247302025556564]	30000.0
66	85.70499613777483	67.0	[1.488996982574463, -1.5409139394760132, 0.032437004148960114]	30000.0
67	95.10499613777492	68.0	[1.4889414310455322, -1.5412660837173462, 0.03254365175962448]	30000.0
68	97.70499613777496	69.0	[1.489463448524475, -1.541589617729187, 0.032358624041080475]	30000.0
69	90.50499613777485	70.0	[1.4882187843322754, -1.541116714477539, 0.033874526619911194]	30000.0
70	97.90499613777496	71.0	[1.48943030834198, -1.5412063598632812, 0.032429397106170654]	30000.0
71	93.9049961377749	72.0	[1.489504098892212, -1.5416065454483032, 0.032474882900714874]	30000.0
72	91.10499613777496	73.0	[1.4895098209381104, -1.5422261953353882, 0.032410357147455215]	30000.0
73	78.10499613777485	74.0	[1.48979914188385, -1.5429418087005615, 0.03228355199098587]	30000.0
74	86.10499613777495	75.0	[1.4899479150772095, -1.5434634685516357, 0.032360974699258804]	30000.0
