	action_index	object_in_range	v_measure_calc_distance	v_measure_sensor_distance
0	0.0	0.0	3.0	1.4117116864802242
1	0.0	0.0	3.0	0.9552798226063725
2	1.0	1.0	0.0	0.9929650639298612
3	1.0	1.0	0.0	1.1717645768744556
4	1.0	1.0	0.0	1.1630336040100997
5	1.0	1.0	0.0	1.321739942757132
6	1.0	1.0	0.0	1.2950787123106573
7	1.0	1.0	0.0	1.442692334590042
8	0.0	0.0	3.0	1.6
9	0.0	0.0	3.0	1.4100788625807446
10	0.0	0.0	3.0	1.4098322276715232
11	0.0	0.0	3.0	1.4094029991476746
12	0.0	0.0	3.0	1.4082713518616525
13	0.0	0.0	3.0	1.4069632992307315
14	0.0	0.0	3.0	1.405991513358728
15	0.0	0.0	3.0	1.6
16	0.0	0.0	3.0	1.6
17	0.0	0.0	3.0	1.6
18	0.0	0.0	3.0	1.6
19	0.0	0.0	3.0	1.6
20	0.0	0.0	3.0	1.6
21	0.0	0.0	3.0	1.6
22	0.0	0.0	3.0	1.6
23	0.0	0.0	3.0	1.6
24	0.0	0.0	3.0	1.6
25	0.0	0.0	3.0	1.6
26	0.0	0.0	3.0	1.6
27	0.0	0.0	3.0	1.6
28	0.0	0.0	3.0	1.6
29	0.0	0.0	3.0	1.6
30	0.0	0.0	3.0	1.6
31	0.0	0.0	3.0	1.0935587336318005
32	1.0	1.0	0.0	0.9169819592080053
33	1.0	1.0	0.0	1.119300843651793
34	1.0	1.0	0.0	1.1083502189651808
35	1.0	1.0	0.0	1.2859230981768988
36	1.0	1.0	0.0	1.254977442952862
37	1.0	1.0	0.0	1.421512696000295
38	0.0	0.0	3.0	1.6
39	0.0	0.0	3.0	1.6
40	0.0	0.0	3.0	1.6
41	0.0	0.0	3.0	1.6
42	0.0	0.0	3.0	1.6
43	0.0	0.0	3.0	1.6
44	0.0	0.0	3.0	1.6
45	0.0	0.0	3.0	1.6
46	0.0	0.0	3.0	1.6
47	0.0	0.0	3.0	1.6
48	0.0	0.0	3.0	1.6
49	0.0	0.0	3.0	1.6
50	0.0	0.0	3.0	1.6
51	0.0	0.0	3.0	1.6
52	0.0	0.0	3.0	1.6
53	0.0	0.0	3.0	1.6
54	0.0	0.0	3.0	1.6
55	0.0	0.0	3.0	1.6
56	0.0	0.0	3.0	1.6
57	0.0	0.0	3.0	1.6
58	0.0	0.0	3.0	1.6
59	0.0	0.0	3.0	1.6
60	0.0	0.0	3.0	1.6
61	0.0	0.0	3.0	1.6
62	0.0	0.0	3.0	1.6
63	0.0	0.0	3.0	1.6
64	0.0	0.0	3.0	1.6
65	0.0	0.0	3.0	1.6
66	0.0	0.0	3.0	1.6
67	0.0	0.0	3.0	1.6
68	0.0	0.0	3.0	1.6
69	0.0	0.0	3.0	1.6
70	0.0	0.0	3.0	1.6
71	0.0	0.0	3.0	1.6
72	0.0	0.0	3.0	1.6
73	0.0	0.0	3.0	1.6
74	0.0	0.0	3.0	1.6
75	0.0	0.0	3.0	1.6
76	0.0	0.0	3.0	1.6
77	0.0	0.0	3.0	1.6
78	0.0	0.0	3.0	1.6
79	0.0	0.0	3.0	1.6
80	0.0	0.0	3.0	1.6
81	0.0	0.0	3.0	1.6
82	0.0	0.0	3.0	1.6
83	0.0	0.0	3.0	0.9261808955907358
84	1.0	1.0	0.0	0.749748202360057
85	1.0	1.0	0.0	1.1373306542595745
86	1.0	1.0	0.0	0.9350617168202102
87	1.0	1.0	0.0	0.9391088478915911
88	1.0	1.0	0.0	0.9522011482502744
89	1.0	1.0	0.0	1.114611650924438
90	0.0	0.0	3.0	1.4263955143119407
91	0.0	0.0	3.0	1.6
92	0.0	0.0	3.0	1.6
93	0.0	0.0	3.0	1.6
94	0.0	0.0	3.0	1.6
95	0.0	0.0	3.0	1.6
