	action_index	object_in_range	v_measure_calc_distance	v_measure_sensor_distance
0	0.0	0.0	3.0	1.6
1	0.0	0.0	3.0	1.6
2	0.0	0.0	3.0	1.6
3	0.0	0.0	3.0	1.6
4	0.0	0.0	3.0	1.6
5	0.0	0.0	3.0	1.6
6	0.0	0.0	3.0	1.6
7	0.0	0.0	3.0	1.6
8	0.0	0.0	3.0	1.6
9	0.0	0.0	3.0	1.6
10	0.0	0.0	3.0	1.6
11	0.0	0.0	3.0	1.6
12	0.0	0.0	3.0	1.6
13	0.0	0.0	3.0	1.6
14	0.0	0.0	3.0	1.6
15	0.0	0.0	3.0	1.6
16	0.0	0.0	3.0	1.6
17	0.0	0.0	3.0	1.6
18	0.0	0.0	3.0	1.6
19	0.0	0.0	3.0	1.6
20	0.0	0.0	3.0	1.6
21	0.0	0.0	3.0	1.6
22	0.0	0.0	3.0	1.6
23	0.0	0.0	3.0	1.6
24	0.0	0.0	3.0	1.6
25	0.0	0.0	3.0	1.6
26	0.0	0.0	3.0	1.6
27	0.0	0.0	3.0	1.6
28	0.0	0.0	3.0	1.6
29	0.0	0.0	3.0	1.6
30	0.0	0.0	3.0	1.6
31	0.0	0.0	3.0	1.6
32	0.0	0.0	3.0	1.6
33	0.0	0.0	3.0	1.6
34	0.0	0.0	3.0	1.6
35	0.0	0.0	3.0	1.0706264154591574
36	1.0	1.0	0.0	1.088257054304695
37	1.0	1.0	0.0	1.0974348750298386
38	1.0	1.0	0.0	1.0819812231352457
39	1.0	1.0	0.0	1.2703380435821126
40	1.0	1.0	0.0	1.2367926309519925
41	1.0	1.0	0.0	1.4119767255300406
42	0.0	0.0	3.0	1.6
43	0.0	0.0	3.0	1.6
44	0.0	0.0	3.0	1.6
45	0.0	0.0	3.0	1.6
46	0.0	0.0	3.0	1.6
47	0.0	0.0	3.0	1.6
48	0.0	0.0	3.0	1.6
49	0.0	0.0	3.0	1.6
50	0.0	0.0	3.0	1.6
51	0.0	0.0	3.0	1.6
52	0.0	0.0	3.0	1.6
53	0.0	0.0	3.0	1.6
54	0.0	0.0	3.0	1.6
55	0.0	0.0	3.0	1.6
56	0.0	0.0	3.0	1.6
57	0.0	0.0	3.0	1.6
58	0.0	0.0	3.0	1.6
59	0.0	0.0	3.0	1.6
60	0.0	0.0	3.0	1.6
61	0.0	0.0	3.0	1.6
62	0.0	0.0	3.0	1.6
63	0.0	0.0	3.0	1.6
64	0.0	0.0	3.0	1.6
65	0.0	0.0	3.0	1.6
66	0.0	0.0	3.0	1.6
67	0.0	0.0	3.0	1.6
68	0.0	0.0	3.0	1.6
69	0.0	0.0	3.0	1.6
70	0.0	0.0	3.0	1.6
71	0.0	0.0	3.0	1.6
72	0.0	0.0	3.0	1.6
73	0.0	0.0	3.0	1.6
74	0.0	0.0	3.0	1.6
75	0.0	0.0	3.0	1.6
76	0.0	0.0	3.0	1.6
77	0.0	0.0	3.0	1.6
78	0.0	0.0	3.0	1.6
79	0.0	0.0	3.0	1.6
80	0.0	0.0	3.0	1.6
81	0.0	0.0	3.0	1.6
82	0.0	0.0	3.0	1.6
83	0.0	0.0	3.0	1.0374051471555341
84	1.0	1.0	0.0	1.2370375875260202
85	1.0	1.0	0.0	0.841880870084703
86	1.0	1.0	0.0	1.0888599902354172
87	1.0	1.0	0.0	0.9233660164766422
88	1.0	1.0	0.0	1.1659697834687415
89	0.0	0.0	3.0	1.1171161852036404
90	0.0	0.0	3.0	1.2409684899970377
91	0.0	0.0	3.0	1.263715788309121
92	1.0	1.0	0.0	1.4416167717164177
93	0.0	0.0	3.0	1.4313811666677427
94	0.0	0.0	3.0	1.2348759994812042
95	0.0	0.0	3.0	1.4372106648905882
96	0.0	0.0	3.0	1.2440154503669572
97	0.0	0.0	3.0	1.249279071298309
98	0.0	0.0	3.0	1.2559948235798872
99	0.0	0.0	3.0	1.266402625209173
100	0.0	0.0	3.0	1.0800801823914687
101	1.0	1.0	0.0	1.2917635320236178
102	0.0	0.0	3.0	1.2947889990493517
103	0.0	0.0	3.0	1.274816030879433
104	0.0	0.0	3.0	1.2562539256082537
105	0.0	0.0	3.0	1.4466684770639104
106	0.0	0.0	3.0	1.437071108542633
107	0.0	0.0	3.0	1.4281929915081673
108	0.0	0.0	3.0	1.4173481900219214
109	0.0	0.0	3.0	1.409968650548948
110	0.0	0.0	3.0	1.4035884345546088
111	0.0	0.0	3.0	1.6
112	0.0	0.0	3.0	1.6
113	0.0	0.0	3.0	1.6
114	0.0	0.0	3.0	1.6
115	0.0	0.0	3.0	1.6
116	0.0	0.0	3.0	1.6
117	0.0	0.0	3.0	1.6
118	0.0	0.0	3.0	1.6
119	0.0	0.0	3.0	1.6
120	0.0	0.0	3.0	1.6
121	0.0	0.0	3.0	1.6
122	0.0	0.0	3.0	1.6
123	0.0	0.0	3.0	1.6
124	0.0	0.0	3.0	1.6
125	0.0	0.0	3.0	1.6
126	0.0	0.0	3.0	1.6
127	0.0	0.0	3.0	1.6
128	0.0	0.0	3.0	1.6
129	0.0	0.0	3.0	1.6
130	0.0	0.0	3.0	1.6
131	0.0	0.0	3.0	1.6
132	0.0	0.0	3.0	1.2416830114707769
133	1.0	1.0	0.0	1.2465985561931894
134	1.0	1.0	0.0	1.0566809791157472
