	accu_reward	episode_index	time_passed
0	31.65440888042083	1.0	30000.0
1	27.419333842464635	2.0	30000.0
2	20.52994222425136	3.0	30000.0
3	23.473817470542542	4.0	30000.0
4	23.331397244551255	5.0	30000.0
5	30.725933430994502	6.0	30000.0
6	27.11878549232735	7.0	30000.0
7	24.28212976573009	8.0	30000.0
8	30.144071285129645	9.0	30000.0
9	20.770558845314838	10.0	30000.0
10	11.848272272203786	11.0	30000.0
11	22.747015868078734	12.0	30000.0
12	13.28857196050398	13.0	30000.0
13	29.212288097963526	14.0	30000.0
14	23.07503474585313	15.0	30000.0
15	30.33885935305738	16.0	30300.0
16	24.394801019104623	17.0	30000.0
17	29.331612720046433	18.0	30000.0
18	24.97047193825392	19.0	30000.0
19	23.907220528992298	20.0	30000.0
20	30.478856980113978	21.0	30000.0
21	30.17923254401647	22.0	30000.0
22	19.054452791231235	23.0	30000.0
23	26.490800815417245	24.0	30000.0
24	24.960870117974647	25.0	30000.0
25	24.997853903151995	26.0	30000.0
26	15.703039863060862	27.0	30000.0
27	19.69016511623139	28.0	30000.0
28	23.315015126809307	29.0	30000.0
29	21.447827946096876	30.0	30000.0
30	38.104996137774975	31.0	30000.0
31	38.104996137774975	32.0	30000.0
32	38.104996137774975	33.0	30000.0
33	38.104996137774975	34.0	30000.0
34	38.104996137774975	35.0	30000.0
35	38.104996137774975	36.0	30000.0
36	38.104996137774975	37.0	30000.0
37	38.104996137774975	38.0	30000.0
38	38.104996137774975	39.0	30000.0
39	38.104996137774975	40.0	30000.0
40	38.104996137774975	41.0	30000.0
41	38.104996137774975	42.0	30000.0
42	38.104996137774975	43.0	30000.0
43	38.104996137774975	44.0	30000.0
44	38.104996137774975	45.0	30000.0
45	38.104996137774975	46.0	30000.0
46	38.104996137774975	47.0	30000.0
47	38.104996137774975	48.0	30000.0
48	38.104996137774975	49.0	30000.0
49	38.104996137774975	50.0	30000.0
