	action_index	object_in_range	v_measure_calc_distance	v_measure_sensor_distance
0	0.0	0.0	3.0	1.41705150827713
1	0.0	0.0	3.0	1.417302940370713
2	0.0	0.0	3.0	1.4165659104135293
3	0.0	0.0	3.0	1.4153543903290877
4	0.0	0.0	3.0	1.6
5	0.0	0.0	3.0	1.4072204031762872
6	0.0	0.0	3.0	1.432285515234664
7	0.0	0.0	3.0	1.4315037141380849
8	0.0	0.0	3.0	1.4225398908056945
9	0.0	0.0	3.0	1.4239423697000153
10	0.0	0.0	3.0	1.4242886412419848
11	0.0	0.0	3.0	1.423242180834491
12	0.0	0.0	3.0	1.4223926561262807
13	0.0	0.0	3.0	1.2419845421914146
14	0.0	0.0	3.0	1.2413861353998734
15	0.0	0.0	3.0	1.2405419675634102
16	0.0	0.0	3.0	1.2349951508784742
17	0.0	0.0	3.0	1.2351358672236155
18	0.0	0.0	3.0	1.243426018939643
19	0.0	0.0	3.0	1.2456391506157458
20	0.0	0.0	3.0	1.2478785156526124
21	0.0	0.0	3.0	1.4057665257385428
22	0.0	0.0	3.0	1.4121106973073427
23	0.0	0.0	3.0	1.4116574760552978
24	0.0	0.0	3.0	1.413363328563205
25	0.0	0.0	3.0	1.4213728906640415
26	0.0	0.0	3.0	1.4231549684075748
27	0.0	0.0	3.0	1.423622185998551
28	0.0	0.0	3.0	1.222852411478438
29	0.0	0.0	3.0	0.7913271995236877
30	1.0	1.0	0.0	1.0075389160159016
31	1.0	1.0	0.0	0.9850107184271439
32	1.0	1.0	0.0	1.1718104289400775
33	1.0	1.0	0.0	1.3264117032416964
34	1.0	1.0	0.0	1.3017560932551957
35	1.0	1.0	0.0	1.4462162711989293
36	0.0	0.0	3.0	1.2279395083587754
37	0.0	0.0	3.0	1.233654784750816
38	0.0	0.0	3.0	1.2311082113004557
39	0.0	0.0	3.0	1.2281723441239867
40	0.0	0.0	3.0	1.2243035226996728
41	0.0	0.0	3.0	1.221905508922808
42	0.0	0.0	3.0	1.2195524943253593
43	0.0	0.0	3.0	1.2172864246871307
44	0.0	0.0	3.0	1.2154463712948775
45	0.0	0.0	3.0	1.2127240163152495
46	0.0	0.0	3.0	1.2104549405950127
47	0.0	0.0	3.0	1.2084654679456568
48	0.0	0.0	3.0	1.2058549090082487
49	0.0	0.0	3.0	1.202825350831794
50	0.0	0.0	3.0	1.4001449443819571
51	0.0	0.0	3.0	1.6
52	0.0	0.0	3.0	1.6
53	0.0	0.0	3.0	1.6
54	0.0	0.0	3.0	1.6
55	0.0	0.0	3.0	1.6
56	0.0	0.0	3.0	1.400384753013343
57	0.0	0.0	3.0	1.4008105613736004
58	0.0	0.0	3.0	1.4012731083614638
59	0.0	0.0	3.0	1.4022470287228648
60	0.0	0.0	3.0	1.4030325237796282
61	0.0	0.0	3.0	1.4036609300156062
62	0.0	0.0	3.0	1.4041423329013747
63	0.0	0.0	3.0	1.405370924861854
64	0.0	0.0	3.0	1.406073276118594
65	0.0	0.0	3.0	1.407116918991619
66	0.0	0.0	3.0	1.4079099250849492
67	0.0	0.0	3.0	1.4086344224216325
68	0.0	0.0	3.0	1.4093644904179248
69	0.0	0.0	3.0	1.4101873272446988
70	0.0	0.0	3.0	1.225929262281138
71	1.0	1.0	0.0	1.0573339304403493
72	1.0	1.0	0.0	0.9006067309454887
73	1.0	1.0	0.0	0.9727553094019732
74	1.0	1.0	0.0	1.0487714458725805
75	1.0	1.0	0.0	1.2802183961832596
76	0.0	0.0	3.0	1.0454055227485959
77	0.0	0.0	3.0	1.1362881250485204
78	0.0	0.0	3.0	1.2504507363113757
79	0.0	0.0	3.0	1.2569317030857978
80	1.0	1.0	0.0	1.4406340444054333
81	0.0	0.0	3.0	1.429853306991846
82	0.0	0.0	3.0	1.237081590085186
83	0.0	0.0	3.0	1.2378952928144522
84	0.0	0.0	3.0	1.2360069788076555
85	0.0	0.0	3.0	1.2405221927310879
86	0.0	0.0	3.0	1.2417545019695113
87	0.0	0.0	3.0	1.242541681334263
88	0.0	0.0	3.0	1.2430902235975259
89	0.0	0.0	3.0	1.2440819153767635
90	0.0	0.0	3.0	1.0419099263372908
91	1.0	1.0	0.0	1.2491460345598742
92	0.0	0.0	3.0	0.7713741701652209
93	1.0	1.0	0.0	0.9888943463843631
94	1.0	1.0	0.0	1.0210951420395822
95	1.0	1.0	0.0	1.096290506061323
96	1.0	1.0	0.0	1.1385967936220007
97	1.0	1.0	0.0	1.1949003578699107
98	0.0	0.0	3.0	1.114045651943136
99	0.0	0.0	3.0	0.9390297492157511
100	0.0	0.0	3.0	1.2511789999173175
101	0.0	0.0	3.0	1.4376170129773331
102	0.0	0.0	3.0	1.4431192495036287
103	0.0	0.0	3.0	1.4489346146665085
104	0.0	0.0	3.0	1.4545280100735885
105	0.0	0.0	3.0	1.2674495310058638
106	0.0	0.0	3.0	1.2792969022912914
107	0.0	0.0	3.0	1.0946628418837534
108	1.0	1.0	0.0	1.3097095671693015
109	0.0	0.0	3.0	1.2992755741774429
110	0.0	0.0	3.0	1.4770881706704997
111	0.0	0.0	3.0	1.4651313177900263
112	0.0	0.0	3.0	1.453591467837116
113	0.0	0.0	3.0	1.4415503822178777
114	0.0	0.0	3.0	1.4298314427371754
115	0.0	0.0	3.0	1.4196374622149213
116	0.0	0.0	3.0	1.4078572190211807
117	0.0	0.0	3.0	1.6
118	0.0	0.0	3.0	1.6
119	0.0	0.0	3.0	1.6
120	0.0	0.0	3.0	1.4059420951203574
121	0.0	0.0	3.0	1.419509711803012
122	0.0	0.0	3.0	1.432089002151562
123	0.0	0.0	3.0	1.4461256121723811
124	0.0	0.0	3.0	1.2705524538807866
125	0.0	0.0	3.0	0.9299616063492676
126	2.0	1.0	0.0	1.0887903926930582
127	2.0	1.0	0.0	0.9004182631326749
128	2.0	1.0	0.0	0.9363990605043853
129	2.0	1.0	0.0	1.0456170739356996
130	0.0	0.0	3.0	1.0968469331565232
131	0.0	0.0	3.0	0.9147579524547909
132	2.0	1.0	0.0	0.9094273219491851
133	2.0	1.0	0.0	1.1180276627000634
134	0.0	0.0	3.0	0.4934312841940196
135	2.0	1.0	0.0	0.6410150789391685
136	2.0	1.0	0.0	0.625422365914537
137	2.0	1.0	0.0	0.8588284627733969
138	2.0	1.0	0.0	0.893950942321667
139	0.0	0.0	3.0	0.9292575713715153
140	0.0	0.0	3.0	0.9367525375374639
141	2.0	1.0	0.0	0.9520706524221363
142	2.0	1.0	0.0	1.1556874251567049
143	0.0	0.0	3.0	0.9157628969552194
144	0.0	0.0	3.0	0.9863905434207222
145	0.0	0.0	3.0	1.1144944650269983
146	0.0	0.0	3.0	1.1260895538943387
147	0.0	0.0	3.0	1.1579298262337472
148	0.0	0.0	3.0	1.1927994881485366
149	0.0	0.0	3.0	1.2246283039913508
150	0.0	0.0	3.0	1.2591709862350042
151	2.0	1.0	0.0	1.2546195492630345
152	0.0	0.0	3.0	1.2322787870622185
153	0.0	0.0	3.0	1.3983646664459484
154	0.0	0.0	3.0	1.3803221304831457
155	0.0	0.0	3.0	1.359949390720616
156	0.0	0.0	3.0	1.3373842487980785
157	0.0	0.0	3.0	1.3169764164880604
158	0.0	0.0	3.0	1.2955399137373231
159	0.0	0.0	3.0	1.2754141199946032
160	0.0	0.0	3.0	1.456590011387878
161	0.0	0.0	3.0	1.4476687743202366
162	0.0	0.0	3.0	1.4378988912398103
163	0.0	0.0	3.0	1.4287986831448771
164	0.0	0.0	3.0	1.4193572662421967
165	0.0	0.0	3.0	1.4096909282550278
166	0.0	0.0	3.0	1.400642653979461
167	0.0	0.0	3.0	1.6
168	0.0	0.0	3.0	1.6
169	0.0	0.0	3.0	1.6
170	0.0	0.0	3.0	1.056587779796954
