	accu_reward	episode_index	time_passed	winner
0	1.7336658653846153	1.0	30000.0	prey
1	24.092997596153847	2.0	13300.0	pred
2	20.0	3.0	100.0	pred
3	20.0	4.0	100.0	pred
4	20.215728365384614	5.0	300.0	pred
5	20.083591346153845	6.0	200.0	pred
6	20.0	7.0	100.0	pred
7	20.496298076923075	8.0	700.0	pred
8	20.0	9.0	100.0	pred
9	20.0	10.0	100.0	pred
10	20.0	11.0	100.0	pred
11	20.0	12.0	100.0	pred
12	20.650432692307692	13.0	600.0	pred
13	21.59457932692308	14.0	1200.0	pred
14	20.0	15.0	100.0	pred
15	21.65272596153846	16.0	1100.0	pred
16	20.0	17.0	100.0	pred
17	21.05753846153846	18.0	900.0	pred
18	20.3508125	19.0	8500.0	pred
19	20.53428605769231	20.0	1200.0	pred
20	20.520391826923078	21.0	400.0	pred
21	20.738009615384616	22.0	900.0	pred
22	20.0	23.0	100.0	pred
23	20.0	24.0	100.0	pred
24	20.0	25.0	100.0	pred
25	20.0	26.0	100.0	pred
26	20.0	27.0	100.0	pred
27	20.0	28.0	100.0	pred
28	20.0	29.0	100.0	pred
29	20.0	30.0	100.0	pred
30	23.463730769230768	31.0	21300.0	pred
31	23.551733173076922	32.0	15400.0	pred
32	20.0	33.0	100.0	pred
33	20.457661057692306	34.0	400.0	pred
34	20.63366346153846	35.0	500.0	pred
35	20.270487980769232	36.0	300.0	pred
36	20.0	37.0	100.0	pred
37	20.0	38.0	100.0	pred
38	20.0	39.0	100.0	pred
39	20.0	40.0	100.0	pred
40	20.0	41.0	100.0	pred
41	20.0	42.0	100.0	pred
42	20.593579326923077	43.0	500.0	pred
43	20.056338942307693	44.0	200.0	pred
44	20.0	45.0	100.0	pred
45	20.068754807692308	46.0	200.0	pred
46	20.0	47.0	100.0	pred
47	2.5324399038461536	48.0	30000.0	prey
48	0.09045432692307695	49.0	30000.0	prey
49	0.0	50.0	30000.0	prey
50	0.0	51.0	30000.0	prey
51	0.0	52.0	30000.0	prey
52	0.0	53.0	30000.0	prey
53	0.1829975961538462	54.0	30000.0	prey
54	0.2878894230769232	55.0	30000.0	prey
55	23.192158653846153	56.0	15400.0	pred
56	20.0	57.0	100.0	pred
57	22.68500480769231	58.0	1800.0	pred
58	20.0	59.0	100.0	pred
59	20.0	60.0	100.0	pred
60	20.0	61.0	100.0	pred
61	21.77914903846154	62.0	1200.0	pred
62	20.0	63.0	100.0	pred
63	20.951228365384615	64.0	900.0	pred
64	20.0	65.0	100.0	pred
65	22.18390625	66.0	1600.0	pred
66	20.0	67.0	100.0	pred
67	20.45603125	68.0	400.0	pred
68	22.302064903846155	69.0	3800.0	pred
69	20.892185096153845	70.0	1400.0	pred
70	20.0	71.0	100.0	pred
71	20.632338942307694	72.0	900.0	pred
72	20.240528846153847	73.0	400.0	pred
73	20.103213942307693	74.0	200.0	pred
74	20.63439182692308	75.0	800.0	pred
75	20.0	76.0	100.0	pred
76	20.0	77.0	100.0	pred
77	0.14881250000000001	78.0	30000.0	prey
78	0.027949519230769236	79.0	30000.0	prey
79	0.06923317307692307	80.0	30000.0	prey
80	0.0	81.0	30000.0	prey
81	0.0	82.0	30000.0	prey
82	0.0	83.0	30000.0	prey
83	0.0	84.0	30000.0	prey
84	0.0	85.0	30000.0	prey
85	0.0	86.0	30000.0	prey
86	20.0	87.0	24000.0	pred
87	20.97010576923077	88.0	10200.0	pred
88	20.04075	89.0	200.0	pred
89	0.001375	90.0	30000.0	prey
90	0.0	91.0	30000.0	prey
91	0.0	92.0	30000.0	prey
92	0.0	93.0	30000.0	prey
93	0.0	94.0	30000.0	prey
94	0.0	95.0	30000.0	prey
95	0.0180625	96.0	30000.0	prey
96	0.17308894230769234	97.0	30000.0	prey
97	0.0	98.0	30000.0	prey
98	0.0	99.0	30000.0	prey
99	0.022557692307692306	100.0	30000.0	prey
100	0.020120192307692308	101.0	30000.0	prey
101	0.5330625	102.0	30000.0	prey
102	0.09426201923076924	103.0	30000.0	prey
103	0.11842307692307695	104.0	30000.0	prey
104	0.9084831730769234	105.0	30000.0	prey
105	0.6641754807692308	106.0	30000.0	prey
106	11.224365384615382	107.0	30000.0	prey
107	21.492817307692306	108.0	6200.0	pred
108	2.8182403846153843	109.0	30000.0	prey
109	0.0	110.0	30000.0	prey
110	0.0	111.0	30000.0	prey
111	0.0	112.0	30000.0	prey
112	0.0	113.0	30000.0	prey
113	0.04272115384615384	114.0	30000.0	prey
114	0.018536057692307695	115.0	30000.0	prey
115	0.10932932692307692	116.0	30000.0	prey
116	0.0	117.0	30000.0	prey
117	0.0	118.0	30000.0	prey
118	0.0	119.0	30000.0	prey
119	0.0	120.0	30000.0	prey
120	0.0	121.0	30000.0	prey
121	0.0	122.0	30000.0	prey
122	0.0	123.0	30000.0	prey
123	0.0	124.0	30000.0	prey
124	0.0	125.0	30000.0	prey
125	0.0	126.0	30000.0	prey
126	0.0	127.0	30000.0	prey
127	0.0	128.0	30000.0	prey
128	0.0	129.0	30000.0	prey
129	0.0	130.0	30000.0	prey
130	0.0	131.0	30000.0	prey
131	0.0	132.0	30000.0	prey
132	0.0	133.0	30000.0	prey
133	0.0	134.0	30000.0	prey
134	0.0	135.0	30000.0	prey
135	0.0	136.0	30000.0	prey
136	0.0	137.0	30000.0	prey
137	0.0	138.0	30000.0	prey
138	0.0	139.0	30000.0	prey
139	0.0	140.0	30000.0	prey
140	0.0	141.0	30000.0	prey
141	0.1697283653846154	142.0	30000.0	prey
142	22.028463942307692	143.0	11800.0	pred
143	20.0	144.0	100.0	pred
144	20.0	145.0	100.0	pred
145	20.0	146.0	100.0	pred
146	20.0	147.0	100.0	pred
147	20.0	148.0	100.0	pred
148	20.0	149.0	100.0	pred
149	20.0	150.0	100.0	pred
