	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	object_in_range	observations:	reward	v_measure_calc_distance	v_measure_sensor_distance
30	47.02380472891096	45.00426738058593	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.54534660840978	75.0	1.6
31	49.22836093704968	46.60426738058593	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.204556208138721	78.0	1.6
32	51.344056324461484	48.20426738058593	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.1156953874118036	81.0	1.6
33	53.564192245705584	49.250625496905336	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.2201359212441014	84.0	1.0463581163194067
34	56.286747079974	50.85062549690534	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.7225548342684127	87.0	1.6
35	59.037953520479654	52.45062549690534	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.751206440505652	90.0	1.6
36	59.716190054385784	54.05062549690534	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.6782365339061291	93.0	1.6
37	59.93874775674138	55.65062549690534	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.22255770235559463	96.0	1.6
38	62.336030187060594	56.692610450958156	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.397282430319218	99.0	1.0419849540528154
39	64.88493448469298	58.29261045095816	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.5489042976323764	102.0	1.6
40	0.2627875253556837	1.4019921128383757	0.0	1.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.2627875253556837	3.0	1.4019921128383757
41	0.4268365386469216	1.1323385712182856	0.0	2.0	1.0	[0.14165387761827095, 0.15, 0.15, 0.15]	0.4268365386469216	3.0	1.1323385712182856
42	2.048983292559539	1.2424279289393547	0.0	3.0	1.0	[0.10294442099242525, 0.15, 0.15, 0.15]	2.048983292559539	3.0	1.2424279289393547
43	2.5292493534226073	1.1438970029034417	0.0	4.0	1.0	[0.1374897486336651, 0.15, 0.15, 0.15]	2.5292493534226073	3.0	1.1438970029034417
44	2.1255899209865032	1.1238997731458622	0.0	5.0	1.0	[0.14470646647248955, 0.15, 0.15, 0.15]	2.1255899209865032	3.0	1.1238997731458622
45	2.2168402022241995	1.1359383992635943	0.0	6.0	1.0	[0.1485668436164914, 0.15, 0.15, 0.15]	2.2168402022241995	3.0	1.1359383992635943
46	1.8998517071660481	1.2287403101113776	0.0	7.0	1.0	[0.10754428712173021, 0.15, 0.15, 0.15]	1.8998517071660481	3.0	1.2287403101113776
47	2.52030107553991	1.0304686431798173	0.0	8.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.52030107553991	3.0	1.0304686431798173
48	2.1442820441675354	1.0284546355727657	0.0	9.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.1442820441675354	3.0	1.0284546355727657
49	2.2787702860090753	1.12206600447628	0.0	10.0	1.0	[0.14537083114577615, 0.15, 0.15, 0.15]	2.2787702860090753	3.0	1.12206600447628
50	1.9273391971315699	1.2111354424172376	0.0	11.0	1.0	[0.11342503532414952, 0.15, 0.15, 0.15]	1.9273391971315699	3.0	1.2111354424172376
51	2.0709534316008233	1.1170480670565022	0.0	12.0	1.0	[0.1309850462359837, 0.15, 0.15, 0.15]	2.0709534316008233	3.0	1.1170480670565022
52	2.32631674093895	0.8562540799708002	0.0	13.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.32631674093895	3.0	0.8562540799708002
53	2.1322973496022812	1.0803856031399308	0.0	14.0	1.0	[0.15, 0.15, 0.15, 0.1407623817927672]	2.1322973496022812	3.0	1.0803856031399308
54	0.4060492473721763	0.7621086399890974	0.0	15.0	1.0	[0.15, 0.15, 0.15, 0.14042508014153243]	0.4060492473721763	3.0	0.7621086399890974
55	1.9045315312019122	1.1170034507661755	0.0	16.0	1.0	[0.0957909177573094, 0.15, 0.15, 0.12794360141045813]	1.9045315312019122	3.0	1.1170034507661755
56	2.176319779278391	0.5859599929309751	0.0	17.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.176319779278391	3.0	0.5859599929309751
57	1.700173727822885	0.9397773360571657	0.0	18.0	1.0	[0.15, 0.08382783402249169, 0.06900038412182907, 0.14830204938469058]	1.700173727822885	3.0	0.9397773360571657
58	-1.73012371202136	1.2659849628471864	1.0	19.0	1.0	[0.15, 0.0627477911205934, 0.04676463163325398, 0.10625553417154407]	-1.73012371202136	0.0	1.2659849628471864
59	-1.3970660051953825	1.1301375056413516	1.0	20.0	1.0	[0.15, 0.08940336696529944, 0.05428448978288281, 0.0901508986385342]	-1.3970660051953825	0.0	1.1301375056413516
60	-1.1086137211988956	1.0745893232454025	1.0	21.0	1.0	[0.15, 0.15, 0.05988700764802218, 0.07572592761177036]	-1.1086137211988956	0.0	1.0745893232454025
61	-1.061400447606099	1.0621480299101562	1.0	22.0	1.0	[0.15, 0.15, 0.06719739552803587, 0.06724413020779088]	-1.061400447606099	0.0	1.0621480299101562
62	-1.3133128235678455	1.1536818279523653	1.0	23.0	1.0	[0.04149749731751234, 0.15, 0.08371600195493395, 0.06355176956303474]	-1.3133128235678455	0.0	1.1536818279523653
63	-2.3481797936359627	1.301305814269183	1.0	24.0	1.0	[0.007465648513795435, 0.15, 0.11048692518914409, 0.06046265484693715]	-2.3481797936359627	0.0	1.301305814269183
64	-0.4488343927341553	1.1932412614140284	1.0	25.0	1.0	[0.15, 0.15, 0.15, 0.05829535060346349]	-0.4488343927341553	0.0	1.1932412614140284
65	-0.7723251851194419	1.1831059755230586	1.0	26.0	1.0	[0.046103671870954974, 0.15, 0.15, 0.06358817765377882]	-0.7723251851194419	0.0	1.1831059755230586
66	-0.6081311629804486	1.1657730787206049	1.0	27.0	1.0	[0.047154796732097576, 0.15, 0.15, 0.07915701254313699]	-0.6081311629804486	0.0	1.1657730787206049
67	-0.04782626385138704	1.3649073018830489	1.0	28.0	1.0	[0.15, 0.15, 0.15, 0.10611855427340217]	-0.04782626385138704	0.0	1.3649073018830489
68	0.0537219715930655	1.225678142856247	1.0	29.0	1.0	[0.1105197207246524, 0.15, 0.15, 0.15]	0.0537219715930655	0.0	1.225678142856247
69	1.5546512736845872	1.3568056717372166	0.0	30.0	1.0	[0.10362262577826754, 0.15, 0.15, 0.15]	1.5546512736845872	3.0	1.3568056717372166
70	1.5469924657446372	1.2839893454506188	0.0	31.0	1.0	[0.13193349738005075, 0.15, 0.15, 0.15]	1.5469924657446372	3.0	1.2839893454506188
71	1.2459761138364946	1.2482411266385427	0.0	32.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.2459761138364946	3.0	1.2482411266385427
72	1.7392069868592135	1.188526472691304	0.0	33.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.7392069868592135	3.0	1.188526472691304
73	0.7803969641434494	1.159198112513529	0.0	34.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.7803969641434494	3.0	1.159198112513529
74	1.563000200714212	1.3125153807279368	0.0	35.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.563000200714212	3.0	1.3125153807279368
75	2.3430963736102646	1.4663120990533192	0.0	36.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.3430963736102646	3.0	1.4663120990533192
76	0.13406710841694047	1.4672085561480932	0.0	37.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.13406710841694047	3.0	1.4672085561480932
77	0.42160623523245705	1.0992751261691849	0.0	38.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.42160623523245705	3.0	1.0992751261691849
78	1.826261069470234	1.2578397957635667	0.0	39.0	1.0	[0.09768942148649273, 0.15, 0.15, 0.15]	1.826261069470234	3.0	1.2578397957635667
79	2.4801126511358116	0.8390176001263698	0.0	40.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.4801126511358116	3.0	0.8390176001263698
80	0.5525831292567858	0.47265192275446	0.0	41.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.5525831292567858	3.0	0.47265192275446
81	0.47570703120073654	1.036926689445854	0.0	42.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.47570703120073654	3.0	1.036926689445854
82	2.0120304139713925	1.1882537666590127	0.0	43.0	1.0	[0.12172920520768732, 0.15, 0.15, 0.15]	2.0120304139713925	3.0	1.1882537666590127
83	2.405202573611237	0.7538527294537637	0.0	44.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.405202573611237	3.0	0.7538527294537637
84	0.4483151104598402	1.105989196828971	0.0	45.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.4483151104598402	3.0	1.105989196828971
85	1.8965783609508158	1.2213153603413116	0.0	46.0	1.0	[0.11611843668197637, 0.15, 0.15, 0.15]	1.8965783609508158	3.0	1.2213153603413116
86	2.4481311901849394	1.0872619934695897	0.0	47.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.4481311901849394	3.0	1.0872619934695897
87	2.540398395511636	1.4004897263905725	0.0	48.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.540398395511636	3.0	1.4004897263905725
88	0.271065383762452	1.6	0.0	49.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.271065383762452	3.0	1.6
